affairs,59671
ca,29028
coders,1550
nda,2735
exam,120440
revision,12709
pw,19799
shakti,674
batch,62177
physicswallah,26152
appwebsite,2613
subjects,26823
wallah,19575
jee,233367
ncert,40491
commerce,1227
currentaffairs,4128
defencewallah,715
exams,90930
polity,32115
geography,32188
faculties,1763
menti,7116
pwshorts,647
ssb,4853
banking,1278
mcqs,15459
revise,8696
vocabulary,3881
preparations,70101
wallahnda,2545
geometry,1844
chapter,15614
equations,3121
equation,2492
formulas,668
differential,1417
calculus,871
derivatives,1237
civil,5713
optics,2731
optical,595
wave,1507
electric,2847
magnetic,2161
ray,1542
waves,1327
reflection,681
refraction,765
algebra,1937
chemical,7252
physiology,531
economy,8017
differentiation,528
integrals,708
magnetism,1246
electromagnetic,1271
induction,888
metals,654
compounds,1653
differentiability,726
idioms,863
phrases,746
circle,649
circles,1034
reproduction,2150
reproductive,893
thermodynamics,4475
shm,665
thermal,563
formula,2293
matrices,1019
determinants,880
doubt,102919
theorem,1576
binomial,803
quadratic,1345
force,2354
gravitation,1152
solids,548
fluids,528
velocity,997
pressure,895
concept,5955
redox,638
electrochemistry,1681
reduction,526
trigonometry,1903
medieval,1215
mechanics,4068
newtons,756
momentum,901
friction,828
trigonometric,1265
bonding,2160
graphs,729
circular,1302
projectile,522
mole,1173
atomic,2214
forces,764
aspirant,899
upsc,291196
ssc,52388
aspirants,53291
dpp,3750
doubts,115128
batches,12034
cracked,3409
mechanism,1206
explaining,1315
indefinite,848
candidates,728
pyqs,7040
kinematics,1877
kinetics,1535
integral,658
calculation,542
atoms,4456
cds,19637
mcq,2235
mentorship,551
electrostatics,1579
iit,91098
mass,1346
permutation,958
polynomials,677
anatomy,539
competitive,12991
numpy,768
discrete,510
algo,516
xml,626
webinar,508
biological,791
trick,588
numerical,1086
methodologies,525
fluid,2663
gate,80489
elastic,541
cuet,2462
neet,168333
ncertwallah,795
jeeadvanced,679
inorganic,1183
botany,756
nta,835
dropper,563
jeeneet,2604
pcmb,555
neetbiology,707
admission,1462
neetchemistry,1953
neetphysics,1157
umeed,1000
mains,48830
toppers,6470
droppers,2991
chapters,2959
topper,2440
coaching,2750
topicwise,1744
cbse,49088
chem,666
xi,1000
xii,979
entrance,22219
pcm,1308
iitjee,726
chapterwise,1588
scholarships,7244
lecturewise,700
ntse,1150
examinations,11915
mbbs,5152
pyq,1918
rotational,1431
formulae,585
iitian,1646
scholarship,9451
subjecttopics,836
nuclear,749
channelphysicswallahalakh,518
physicstueswedthurfrisat,518
chemistrysatsun,518
mathematicswedthurfrisatsun,518
biologywedthurfrisatsun,518
boardsjee,554
mainneet,1053
boardsneetjee,516
hydrocarbons,989
biomolecules,742
coordination,1707
goc,637
compound,756
morphology,785
iupac,506
equilibrium,2105
isomerism,1046
geometrical,701
nomenclature,651
mainsneet,2519
jeemains,1654
marks,16317
absorption,559
ketones,693
aldehydes,663
alcohols,936
pblock,540
neetlive,521
