red, 440
light, 134
green, 472
karaoke, 118
sing, 6834
along, 4796
with, 10060
me, 2830
moonbug, 6614
kids, 29124
and, 39434
friends, 2044
are, 3262
the, 37642
who, 1620
will, 2874
there, 1290
first, 1302
dont, 950
move, 172
when, 962
its, 358
if, 672
you, 14088
want, 1664
to, 20064
lets, 250
have, 2746
some, 836
fun, 6124
while, 1222
playing, 464
subscribe, 3516
home, 1476
of, 9550
all, 6066
versions, 484
your, 8742
favorite, 1096
songs, 9898
classic, 2430
nursery, 14642
rhymes, 14628
join, 1732
baby, 5138
jj, 1934
blippi, 1766
ella, 456
mia, 648
buster, 2382
mila, 790
morphle, 2992
rest, 596
at, 2586
learn, 5312
how, 1360
read, 554
count, 978
dance, 3888
so, 3498
much, 2940
more, 7026
leaning, 484
has, 970
never, 570
been, 1332
us, 2036
for, 18554
regular, 844
uploads, 934
very, 1720
best, 3054
learning, 5280
perfect, 942
child, 928
from, 2346
in, 7712
this, 5642
video, 4096
we, 6110
present, 468
creators, 230
little, 8628
bum, 1472
is, 7108
a, 14596
new, 4980
rhyme, 2572
channel, 1712
that, 3066
love, 1324
come, 666
kii, 284
lots, 248
having, 146
by, 5528
amazing, 1828
cartoons, 2656
make, 3650
play, 3880
playlists, 1594
alongs, 668
>, 4332
lyrics, 4286
let's, 1832
run, 278
give, 1136
it, 2908
got, 520
but, 1418
hear, 228
stop, 374
look, 646
you're, 478
out, 2784
can, 3724
everybody, 168
win, 126
game, 216
today, 2038
on, 8690
go, 3826
everyone, 190
i, 3982
see, 1650
oh, 680
be, 3078
well, 172
find, 664
just, 452
don't, 594
helping, 840
what, 1540
way, 914
shall, 278
again, 444
end, 524
social, 480
media, 462
website, 4534
facebook, 2420
instagram, 1712
singalong, 1202
moonbugkids, 416
twinkle, 1164
star, 602
cocomelon, 6062
help, 1786
cody, 256
his, 996
lane, 102
magical, 120
adventure, 126
sky, 198
beautiful, 1332
danimated, 158
show, 1112
featuring, 208
toetapping, 1078
create, 758
world, 1200
centering, 158
everyday, 786
experiences, 750
young, 816
children, 5096
addition, 752
preschoolers, 964
letters, 2044
numbers, 2278
animal, 2136
sounds, 1880
colors, 2460
videos, 9510
impart, 750
prosocial, 750
life, 1876
lessons, 800
providing, 750
parents, 2600
an, 2626
opportunity, 1668
teach, 1724
their, 2222
as, 3126
they, 1634
watch, 4388
together, 1388
verse, 174
wonder, 120
up, 2298
high, 244
like, 2002
tiktok, 506
shop, 606
spotify, 770
apple, 870
music, 4226
yes, 4042
vegetables, 418
lellobee, 834
compilation, 1036
city, 634
farm, 1440
healthy, 344
habits, 112
eating, 108
cartoon, 348
musicbased, 156
years, 182
olds, 156
set, 918
fantastical, 208
urban, 156
microfarm, 156
where, 2556
neighborhood, 168
gather, 166
each, 490
other, 1218
timestamps, 222
song, 13518
babys, 132
boo, 1528
wobbly, 218
tooth, 320
going, 714
dentist, 158
doctors, 140
im, 488
not, 416
scared, 214
splish, 162
splash, 392
bath, 700
do, 7434
ice, 712
cream, 642
johny, 500
getting, 362
dressed, 274
sick, 422
old, 806
macdonald, 666
bedtime, 306
doctor, 632
stay, 138
safe, 250
dress, 450
princesses, 136
pirates, 164
planes, 184
carrots, 118
they're, 188
eat, 490
treat, 838
no, 2172
different, 140
round, 1350
sweet, 234
try, 318
one, 2630
pick, 112
good, 1030
really, 372
think, 114
now, 4360
could, 198
both, 1076
these, 542
our, 11676
links, 334
teacher, 170
take, 500
time, 1684
say, 362
thank, 690
educational, 2664
about, 2330
her, 388
my, 2634
name, 240
it's, 1654
p, 118
l, 122
e, 168
b, 134
r, 114
y, 124
that's, 138
ever, 132
was, 492
because, 150
she, 390
always, 116
stories, 3910
get, 1662
share, 212
fall, 200
then, 322
feel, 208
better, 210
eyes, 164
thing, 110
clean, 672
angel, 164
quality, 1074
content, 1774
d, 2622
original, 776
around, 578
preschool, 184
toddlers, 184
over, 552
entertaining, 110
episodes, 112
sleep, 178
daddy, 522
build, 216
big, 598
boy, 196
building, 172
animals, 876
check, 1008
monkey, 158
nice, 130
instruments, 108
papa, 256
ate, 108
shake, 336
body, 106
ready, 1194
house, 224
brother, 150
care, 246
wanna, 110
mommy, 896
wash, 870
away, 846
warm, 130
boat, 294
here, 1044
head, 686
ooh, 144
twitter, 1652
had, 1012
episode, 380
rain, 1050
year, 284
please, 554
abc, 1372
phonics, 460
tree, 332
happy, 3046
place, 312
christmas, 788
holiday, 116
party, 242
hands, 504
scrub, 274
ducks, 668
wheels, 1794
bus, 3236
five, 798
senses, 102
lullaby, 204
bingo, 560
eieio, 326
he, 1122
moo, 276
everywhere, 252
lamb, 210
baa, 1106
duck, 222
quack, 306
neigh, 152
things, 638
grow, 172
quiet, 106
freeze, 134
school, 850
version, 544
class, 148
pet, 348
construction, 156
vehicles, 160
birds, 112
row, 562
save, 226
earth, 120
apples, 294
bananas, 214
lunch, 176
soccer, 152
monkeys, 738
jumping, 848
bed, 1224
potato, 142
two, 712
potatoes, 116
trash, 208
sun, 200
special, 434
songssubscribe, 262
loved, 822
babies, 486
through, 876
magic, 608
comes, 226
alive, 150
family, 1558
buses, 640
days, 142
town, 574
horn, 118
goes, 804
beep, 822
wipers, 114
swish, 732
people, 160
down, 1298
bell, 106
ding, 118
doors, 124
open, 344
shut, 242
littlebabybum, 1360
mom, 382
bumped, 162
outside, 164
okay, 186
know, 858
right, 360
yoyo, 138
tomtom, 124
dad, 278
working, 188
animated, 878
series, 206
shapes, 584
characters, 1954
lights, 114
super, 438
hero, 152
stuck, 148
itsy, 410
bitsy, 404
spider, 386
fire, 272
truck, 596
day, 1376
beach, 292
robot, 468
cat, 144
rescue, 148
busters, 146
zombie, 182
carwash, 216
accidents, 252
happen, 276
rainbow, 242
sound, 450
we'll, 272
soon, 142
train, 5664
car, 668
blue, 324
bright, 132
he's, 144
fine, 114
wah, 286
jello, 120
color, 518
wonderful, 140
orange, 170
yellow, 266
purple, 154
too, 748
three, 1692
use, 166
them, 748
yummy, 378
merry, 188
cool, 104
wait, 202
made, 194
makes, 318
itchy, 112
halloween, 5054
toys, 1588
yum, 438
shoulders, 478
knees, 740
toes, 750
finger, 514
playground, 294
i'm, 494
fly, 248
many, 300
boom, 332
dee, 278
ah, 146
dah, 140
snow, 228
bunnies, 104
speckled, 402
frogs, 350
enjoy, 2012
even, 192
which, 116
am, 158
put, 350
shoes, 200
work, 508
next, 208
rinse, 114
we're, 504
done, 238
did, 330
bear, 244
space, 116
hey, 162
-, 1750
swing, 152
fast, 296
wow, 318
ride, 344
anything, 150
moon, 126
doo, 614
small, 130
swimming, 178
singing, 156
dancing, 216
jump, 374
water, 172
hot, 260
kick, 110
blow, 404
bubbles, 144
trip, 110
muffin, 180
man, 260
inside, 116
hello, 336
shark, 1084
back, 554
found, 156
let, 336
wave, 120
colorful, 198
cars, 144
race, 414
follow, 112
ten, 366
duckies, 108
john, 120
shape, 114
skidamarink, 216
yay, 666
teddy, 244
likes, 228
ha, 262
gone, 202
elephant, 120
trucks, 272
geckos, 114
garage, 178
gecko, 148
including, 450
monster, 824
four, 254
left, 130
fell, 268
far, 130
smile, 176
off, 340
candy, 154
gotta, 102
him, 182
gonna, 152
gobuster, 466
need, 348
can't, 126
balloons, 224
ball, 256
black, 346
sheep, 476
morning, 134
balloon, 324
bump, 108
were, 184
laugh, 1054
worry, 126
trick, 822
or, 1166
v, 2826
knock, 230
nearly, 178
yet, 274
fairy, 1002
tale, 118
learns, 160
colours, 166
puddles, 144
vowels, 120
abcs, 1204
s, 1060
birthday, 632
says, 232
eggs, 160
you'll, 188
munch, 202
taekwondo, 112
counting, 326
musical, 146
wear, 142
almost, 158
i'll, 276
slide, 174
driving, 258
after, 262
another, 140
loves, 122
vroom, 410
any, 134
under, 112
sure, 1882
tortoise, 194
hare, 232
slow, 142
story, 302
once, 134
said, 338
there's, 212
came, 158
sleeping, 106
true, 102
camping, 168
keep, 1080
bad, 102
tell, 180
friend, 344
funny, 180
face, 316
codys, 108
pretend, 120
kittens, 376
country, 142
mouse, 338
toy, 124
hickory, 186
dickory, 188
dock, 186
mary, 148
six, 156
seven, 158
eight, 146
nine, 144
popsicles, 142
fruit, 276
lost, 196
paint, 214
looking, 178
such, 250
feet, 202
dinosaurs, 210
peekaboo, 232
dinosaur, 206
humpty, 382
dumpty, 336
spooky, 3930
monsters, 438
deck, 128
halls, 128
ocean, 148
excavator, 242
max, 170
london, 260
bridge, 306
falling, 296
bike, 178
pigs, 212
pirate, 156
brush, 370
teeth, 260
mummy, 178
grandpa, 106
before, 146
hide, 192
seek, 176
grandma, 104
egg, 260
wall, 136
great, 286
men, 238
hunt, 298
youre, 328
chugga, 138
choo, 314
wants, 216
number, 204
long, 172
ants, 140
marching, 136
dog, 206
wool, 110
sir, 210
bags, 102
full, 1004
cake, 284
gets, 178
alphabet, 244
c, 118
f, 110
g, 114
h, 110
