,Title,Description
0,How to Be a Hero Song | CoComelon Nursery Rhymes & Kids Songs,"Heroes to the rescue! Learn how to be a hero and in all the fun! JJ, Cody and Nina play firefighter and save the day! Sing along to Heroes To The Rescue nursery rhymes and kids songs by CoComelon!
Subscribe for new videos every week!
 

Lyrics:
Heroes to the rescue,
With my firefighter crew.
When there's danger,
We roll out!

Heroes to the rescue,
In our bright red hats, too.
Brave and daring.  
Here we come!

Heroes to the rescue,
Wearing sturdy strong boots.
Stomp on forward. 
Lets suit up! 

Heroes to the rescue,
Our firetruck goes ""woo"".  
“Wee-Ooh”, “Wee-Ooh”. 
On our way!

Heroes to the rescue
Our fire hose goes ""woosh""         
“Woo-woosh”, “Woo-woosh” 
Put it out!

Heroes to the rescue
It’s up to me, it’s up to you         
So heroic 
Save the day!

Heroes to the rescue
With my firefighter crew
When there's danger
We roll out!

Heroes to the rescue
With my firefighter crew
When there's danger
Save the day!


Music available on all major streaming platforms now:
🍉  

Watch our playlists: 
Family Fun 
 
Kids Songs by CoComelon
 
JJ & Friends
 
Nursery Rhymes in 3D
 

Website ►   
Facebook ►  
Instagram ►  
TikTok ►  
US Shop ►   

About CoComelon:

Where kids can be happy and smart!

CoComelon’s 3D animation and songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

WEBSITE:  
FACEBOOK:  
TWITTER:  


Copyright Treasure Studio, Inc.  All Rights Reserved."
1,Play Outside At The Train Park Song + More Nursery Rhymes & Kids Songs - CoComelon,"Cody and his family take a trip to check out the brand new Train Park! Come and play along with Cody! Sing along to your favorite nursery rhymes and kids songs by CoComelon!
Subscribe for new videos every week!
 

Music available on all major streaming platforms now:
🍉  

Train Park Song 00:00
Pasta Song 02:49
Row Row Stream Song 05:50
Bad Dream Song 08:47
Humpty Dumpty V2 11:45
This is the Way 14:30
Back to School 16:56
Birthday Musical Chairs 19:56
This Box Rocks 22:47
If You're Happy and You Know It 25:29
Easter Masks Song 28:13
Playdate With Cody 31:33
Thank You Song V3 34:27
Yes Yes Bed Time Camping 37:16
Jello Color Song 40:43
ABC Song With Balloons V2 44:17
Beach Song 47:26
The ABC Song 50:07
Hello Song 53:37

Watch our playlists: 
Family Fun 
 
Kids Songs by CoComelon
 
JJ & Friends
 
Nursery Rhymes in 3D
 

Website ►   
Facebook ►  
Instagram ►  
TikTok ►  
US Shop ►   

About CoComelon:

Where kids can be happy and smart!

CoComelon’s 3D animation and songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

WEBSITE:  
FACEBOOK:  
TWITTER:  


Copyright Treasure Studio, Inc.  All Rights Reserved."
2,JJ's Treehouse Song | CoComelon Nursery Rhymes & Kids Songs,"JJ, TomTom, Cody, and YoYo secretly gather supplies for a surprise picnic in the Treehouse! Sing along to the Treehouse Picnic song for kids!
Subscribe for new videos every week!
 

Lyrics:
Working together side-by-side
Working together side-by-side
When we all work together
Everything is so much better 
Working together we have a good time!

Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!
Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!
Singing, “Do da dee dee dah… da dee da” 
Singing, “Do da dee dee dah… da dee da”
Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!

Working together we all take turns
Working together we all take turns
When we all work together
Everything is so much better 
Working together we all learn!

Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!
Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!
Singing, “Do da dee dee dah… da dee da” 
Singing, “Do da dee dee dah… da dee da”
Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!

Working together we will finish fast
Working together we will finish fast
When we all work together
Everything is so much better 
Working together we have a blast!

Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!
Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!
Singing, “Do da dee dee dah… da dee da” 
Singing, “Do da dee dee dah… da dee da”
Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!

Working together we’ll get the job done (Yes we will!)
Working together we’ll get the job done
When we all work together
Everything is so much better 
Working together is so much fun!

Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!
Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!
Singing, “Do da dee dee dah… da dee da” 
Singing, “Do da dee dee dah… da dee da”
Singing, “Do da dee dee dah… da dee da do da day!”
Woo hoo!


Music available on all major streaming platforms now:
🍉  

Watch our playlists: 
Family Fun 
 
Kids Songs by CoComelon
 
JJ & Friends
 
Nursery Rhymes in 3D
 

Website ►   
Facebook ►  
Instagram ►  
TikTok ►  
US Shop ►   

About CoComelon:

Where kids can be happy and smart!

CoComelon’s 3D animation and songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

WEBSITE:  
FACEBOOK:  
TWITTER:  


Copyright Treasure Studio, Inc.  All Rights Reserved."
3,Yes Yes Vegetables On The Farm + More Nursery Rhymes & Kids Songs - CoComelon,"After picking veggies at the farm, JJ decides to show Nina how good they are by sharing them with his farm animal friends! 
Subscribe for new videos every week!
 

Yes Yes Vegetables 00:08
Fire Drill Song 04:01
Color Kaleidoscope 07:05
Down by the Station 12:30
It Starts with a Wave 15:26
Twinkle Twinkle Little Star V2 18:05
The Boo Boo Song V2 21:35
Itsy Bitsy Spider (Birdie Edition) 21:35
Old MacDonald V2 24:23
Pizza Song 27:05
Train Song 30:00
Quiet Time 32:38

Music available on all major streaming platforms now:
🍉  

Watch our playlists: 
Family Fun 
 
Kids Songs by CoComelon
 
JJ & Friends
 
Nursery Rhymes in 3D
 

Website ►   
Facebook ►  
Instagram ►  
TikTok ►  
US Shop ►   

About CoComelon:

Where kids can be happy and smart!

CoComelon’s 3D animation and songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

WEBSITE:  
FACEBOOK:  
TWITTER:  


Copyright Treasure Studio, Inc.  All Rights Reserved."
4,Train Song Dance | Dance Party | CoComelon Nursery Rhymes & Kids Songs,"The train goes 'Click-a-Clack-a'! Dance along and learn the moves to the train song by CoComelon! 
Subscribe for new videos every week!
 

Music available on all major streaming platforms now:
🍉  

Watch our playlists: 
Family Fun 
 
Kids Songs by CoComelon
 
JJ & Friends
 
Nursery Rhymes in 3D
 

Website ►   
Facebook ►  
Instagram ►  
TikTok ►  
US Shop ►   

About CoComelon:

Where kids can be happy and smart!

CoComelon’s 3D animation and songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

WEBSITE:  
FACEBOOK:  
TWITTER:  


Copyright Treasure Studio, Inc.  All Rights Reserved."
5,I Spy Song + More Nursery Rhymes & Kids Songs - CoComelon,"Play I Spy and sing along with JJ and Cody on their playdate! 
Subscribe for new videos every week!
 

Music available on all major streaming platforms now:
🍉  

Watch our playlists: 
Family Fun 
 
Kids Songs by CoComelon
 
JJ & Friends
 
Nursery Rhymes in 3D
 

Website ►   
Facebook ►  
Instagram ►  
TikTok ►  
US Shop ►   

About CoComelon:

Where kids can be happy and smart!

CoComelon’s 3D animation and songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

WEBSITE:  
FACEBOOK:  
TWITTER:  

I Spy (Painting) 00:00
London Bridge 02:49
African Melody Song 05:22
Baby Bump 08:01
Brush It! 10:47
Teddy Bear Teddy Bear 13:24
Ms. Polly Had a Dolly 16:09
This is the Way - Playground Version 18:53
Following in Dad's Footsteps 21:21
Dentist Song 24:16
Sick Song V2 26:53
Trick or Treat Song 29:16
ABC Soup Song 31:56
Get Outside Song 34:55
10 Little Buses 37:32
Yes Yes Brush Your Teeth 40:15
The Muffin Man V2 43:17
Namaste JJ 46:01
Floor Is Lava 48:58
Pet Care 51:40

Copyright Treasure Studio, Inc.  All Rights Reserved."
6,Fire Truck Song - Trucks For Kids | CoComelon Nursery Rhymes & Kids Songs,"Wow! A fire engine! Nina's Mom surprises everyone on CoComelon Lane when she parks a fire engine on the street for everyone to see! Fire Trucks For Kids! 
Subscribe for new videos every week!
 

Lyrics:
JJ: Wow!
Cody: A fire engine!

I laugh I smile I grin!
It’s a real life fire engine!
I can’t believe my luck!
It’s a real life fire truck!  

Nina: Hi!

Wheels so big big big
Biggest I’ve seen!
Wheels spin, spin again
On this fire engine!

Hose so long long long
Longest I’ve seen!
Hose splish, splash again
On this fire engine!
 
I laugh I smile I grin!
It’s a real life fire engine!
I can’t believe my luck!
It’s a real life fire truck! 
 
Siren so loud loud loud
Loudest I’ve heard!
Siren flash, flash again
On this fire engine!

Radio so fun fun fun
Most fun I’ve seen!
Radio beep, beep again
On this fire engine!
(Spoken) “Roger that!”
 
I laugh I smile I grin!
It’s a real life fire engine!
I can’t believe my luck!
It’s a real life fire truck! 

Music available on all major streaming platforms now:
🍉  

Watch our playlists: 
Family Fun 
 
Kids Songs by CoComelon
 
JJ & Friends
 
Nursery Rhymes in 3D
 

Website ►   
Facebook ►  
Instagram ►  
TikTok ►  
US Shop ►   

About CoComelon:

Where kids can be happy and smart!

CoComelon’s 3D animation and songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

WEBSITE:  
FACEBOOK:  
TWITTER:  


Copyright Treasure Studio, Inc.  All Rights Reserved."
7,The Wheels on the Bus Dance | CoComelon Nursery Rhymes & Kids Songs - Dance Party,"It's a dance party! Join JJ and do the Wheels On The Bus Dance for kids! CoComelon brings you the Wheels On The Bus dance, a kids song to dance along to for the whole family! 

Subscribe for new videos every week!
 

🍉Spotify:  

🍉Apple Music:  

00:00 The Wheels on the Bus
02:35 If You're Happy and You Know
05:13 Animal Song
07:38 Freeze Dance (Dance Party)
10:09 Yes Yes Vegetables Song (Dance Party)
12:49 Happy Place (Dance Party)
15:37 Jingle Bells (Dance Party)
18:16 Baa Baa Black Sheep
20:39 Belly Button Song
23:01 Mister Dinosaur
25:35 Los Pollitos Dicen

Watch our playlists: 
Family Fun 
 
Kids Songs by CoComelon
 
JJ & Friends
 
Nursery Rhymes in 3D
 

Website ►   
Facebook ►  
Instagram ►  
TikTok ►  
US Shop ►   

About CoComelon:

Where kids can be happy and smart!

CoComelon’s 3D animation and songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

WEBSITE:  
FACEBOOK:  
TWITTER:  

Copyright Treasure Studio, Inc.  All Rights Reserved."
8,Play Outside at the Beach Song | CoComelon Nursery Rhymes & Kids Songs,"The sun is shining! What a perfect beach day for the CoComelon crew! JJ, Nina and their moms play different sports outside together at the beach.
Subscribe for new videos every week!
 

Music available on all major streaming platforms now:
🍉  

Lyrics:
We’ll go out to the beach today.
We’re going to laugh and play.
On the sandy beach, under the sun, 
We’ll have so much fun!

Volley the ball and bump, bump, bump
Bump, bump as high as you can
Volley the ball and bump, bump, bump
Bump, bump as high as you can

We’ll go out to the beach today.
We’re going to laugh and play.
On the sandy beach, under the sun, 
We’ll have so much fun!

Let’s toss the ball and swing, swing, swing
Swing, swing as hard as you can
Let’s toss the ball and swing, swing, swing
Swing, swing as hard as you can

We’ll go out to the beach today.
We’re going to laugh and play.
On the sandy beach, under the sun, 
We’ll have so much fun!
 
Ready, set, go! And kick, kick, kick
Kick, kick as strong as you can
Ready, set, go! And kick, kick, kick
Kick, kick as strong as you can

We’ll go out to the beach today
We’re going to laugh and play
On the sandy beach, under the sun 
We’ll have so much fun!

Get on the board and paddle, paddle, paddle 
Paddle as best as you can
Get on the board and paddle, paddle paddle
Paddle as best as you can

We went out to the beach today.
We went out to laugh and play.
On the sandy beach, under the sun, 
We had so much fun!


Watch our playlists: 
Family Fun 
 
Kids Songs by CoComelon
 
JJ & Friends
 
Nursery Rhymes in 3D
 

Website ►   
Facebook ►  
Instagram ►  
TikTok ►  
US Shop ►   

About CoComelon:

Where kids can be happy and smart!

CoComelon’s 3D animation and songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

WEBSITE:  
FACEBOOK:  
TWITTER:  


Copyright Treasure Studio, Inc.  All Rights Reserved."
9,Opposites Song + More Nursery Rhymes & Kids Songs - CoComelon,"JJ and Cody learn the meaning of the word “Opposite” when they sing a song about how different their two pets are. Sing along and learn with CoComelon to Opposites Song and more nursery rhymes and kids songs!
Subscribe for new videos every week!
 

🍉  

Watch our playlists: 
Family Fun 
 
Kids Songs by CoComelon
 
JJ & Friends
 
Nursery Rhymes in 3D
 

Website ►   
Facebook ►  
Instagram ►  
TikTok ►  
US Shop ►   

Opposite Song 00:00
Head Shoulders Knees and Toes 02:52
Go Before You Go 05:24
Excavator Song 08:13
Accidents Happen 10:44
Clean Machine 13:45
The Most Compost 16:31
Teaching Directions 19:47
Pretend Shop 23:09
Counting Apples 26:09
Tie Your Shoes Song 29:03
Shadow Puppets 32:23
Freeze Dance 35:15
Gardening Song 38:08
Doctor Checkup Song (School Version) 41:24
Ten Little Dinos 44:00
Reading Song 47:48
You Can Ride a Bike 49:58
Taekwondo Song 53:14
Basketball Song 56:21

About CoComelon:

Where kids can be happy and smart!

CoComelon’s 3D animation and songs create a world that centers on the everyday experiences of young children. 
In addition to helping preschoolers learn letters, numbers, animal sounds, colors, and more, the videos impart prosocial life lessons, providing parents with an opportunity to teach and play with their children as they watch together.

WEBSITE:  
FACEBOOK:  
TWITTER:  


Copyright Treasure Studio, Inc.  All Rights Reserved."
