,Title,Description
0,"Current Affairs Marathon for NDA - 2, 2022 Exam | ONE SHOT REVISION 👊🏻","Modern History Marathon - The Last Fist:  

Fill out this form and get 200 coins on PW App after your exam.
Share your NDA journey with PW 👉  

📝 For complete notes of Lectures, visit SHAKTI 2.0 Batch in the Batch Section of PhysicsWallah App/Website
📲PW App Link -   
🌐PW Website -  


▶ NDA - 02 2022 Other Subject's One Shot Videos:  
----------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------
📌 PHYSICS WALLAH OTHER CHANNELS :

🌐 PhysicsWallah - Alakh Pandey:  
🌐 Alakh Pandey:  
🌐 Competition Wallah:  
🌐 JEE Wallah:  
🌐 PW Foundation:  
🌐 NCERT Wallah:  
🌐 PhysicsWallah English:  
🌐 PW Vidyapeeth:  
🌐 Commerce Wallah by PW:  
🌐 PW Sarkari Exam:  
🌐 PW- Hindi Medium:  
🌐 PW Bangla:  
🌐 PW Maharashtra:  
🌐 PW Telugu:  
🌐 PW Kannada:  
🌐 PW Gujarati:  
🌐 PW Facts:  
🌐 PW Insiders:  
🌐 PW Little Champs:  
🌐 PW Pathshala:  


📌 PHYSICS WALLAH SOCIAL MEDIA PROFILES :

🌐 Telegram  :  
🌐 Facebook :  
🌐 Instagram :  
🌐 Twitter      :   

📌 For any queries or complaints Visit :  

#CurrentAffairs #NDA02_2022 #DefenceWallah 
#NDAexam2022 #NDAprepration #NDA022022 #NDADefenceWallah #NDA #NDAprepration #ndaonlineclasses #NDAexamclasses #NDAexampattern"
1,"Maths Marathon for NDA - 2, 2022 Exam | ONE SHOT REVISION 👊🏻","Fill out this form and get 200 coins on PW App after your exam.
Share your NDA journey with PW 👉  

📝 For complete notes of Lectures, visit SHAKTI 2.0 Batch in the Batch Section of PhysicsWallah App/Website
📲PW App Link -   
🌐PW Website -  


▶ NDA - 02 2022 Other Subject's One Shot Videos:  
----------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------
📌 PHYSICS WALLAH OTHER CHANNELS :

🌐 PhysicsWallah - Alakh Pandey:  
🌐 Alakh Pandey:  
🌐 Competition Wallah:  
🌐 JEE Wallah:  
🌐 PW Foundation:  
🌐 NCERT Wallah:  
🌐 PhysicsWallah English:  
🌐 PW Vidyapeeth:  
🌐 Commerce Wallah by PW:  
🌐 PW Sarkari Exam:  
🌐 PW- Hindi Medium:  
🌐 PW Bangla:  
🌐 PW Maharashtra:  
🌐 PW Telugu:  
🌐 PW Kannada:  
🌐 PW Gujarati:  
🌐 PW Facts:  
🌐 PW Insiders:  
🌐 PW Little Champs:  
🌐 PW Pathshala:  


📌 PHYSICS WALLAH SOCIAL MEDIA PROFILES :

🌐 Telegram  :  
🌐 Facebook :  
🌐 Instagram :  
🌐 Twitter      :   

📌 For any queries or complaints Visit :  

#Maths #NDA02_2022 #DefenceWallah 
#NDAexam2022 #NDAprepration #NDA022022 #NDADefenceWallah #NDA #NDAprepration #ndaonlineclasses #NDAexamclasses #NDAexampattern"
2,English Marathon for NDA-2 2022 Exams | ONE SHOT REVISION 👊🏻,"Fill out this form and get 200 coins on PW App after your exam.
Share your NDA journey with PW 👉  

📝 For complete notes of Lectures, visit SHAKTI 2.0 Batch in the Batch Section of PhysicsWallah App/Website
📲PW App Link -   
🌐PW Website -  

----------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------
📌 PHYSICS WALLAH OTHER CHANNELS :

🌐 PhysicsWallah - Alakh Pandey:  
🌐 Alakh Pandey:  
🌐 Competition Wallah:  
🌐 JEE Wallah:  
🌐 PW Foundation:  
🌐 NCERT Wallah:  
🌐 PhysicsWallah English:  
🌐 PW Vidyapeeth:  
🌐 Commerce Wallah by PW:  
🌐 PW Sarkari Exam:  
🌐 PW- Hindi Medium:  
🌐 PW Bangla:  
🌐 PW Maharashtra:  
🌐 PW Telugu:  
🌐 PW Kannada:  
🌐 PW Gujarati:  
🌐 PW Facts:  
🌐 PW Insiders:  
🌐 PW Little Champs:  
🌐 PW Pathshala:  


📌 PHYSICS WALLAH SOCIAL MEDIA PROFILES :

🌐 Telegram  :  
🌐 Facebook :  
🌐 Instagram :  
🌐 Twitter      :   

📌 For any queries or complaints Visit :  

#English #NDA02_2022 #DefenceWallah 
#NDAexam2022 #NDAprepration #NDA022022 #NDADefenceWallah #NDA #NDAprepration #ndaonlineclasses #NDAexamclasses #NDAexampattern #NDAoneShot"
3,"AB Brahmastra Chalega FREE NDA TEST SERIES | NDA - 2, 2022 EXAM 🔥","Fill out this form and get 200 coins on PW App after your exam.
Share your NDA journey with PW 👉  

📝 Free Mock Test will be on PW App, Live solving on Defencewallah YouTube channel PhysicsWallah App/Website link : 
📲PW App Link -   
🌐PW Website -  

----------------------------------------------------------------------------------------------------------------------

📌 PHYSICS WALLAH OTHER CHANNELS :

🌐 PhysicsWallah - Alakh Pandey:  
🌐 Alakh Pandey:  
🌐 Competition Wallah:  
🌐 JEE Wallah:  
🌐 PW Foundation:  
🌐 NCERT Wallah:  
🌐 PhysicsWallah English:  
🌐 PW Vidyapeeth:  
🌐 Commerce Wallah by PW:  
🌐 PW Sarkari Exam:  
🌐 PW- Hindi Medium:  
🌐 PW Bangla:  
🌐 PW Maharashtra:  
🌐 PW Telugu:  
🌐 PW Kannada:  
🌐 PW Gujarati:  
🌐 PW Facts:  
🌐 PW Insiders:  
🌐 PW Little Champs:  
🌐 PW Pathshala:  


📌 PHYSICS WALLAH SOCIAL MEDIA PROFILES :

🌐 Telegram  :  
🌐 Facebook :  
🌐 Instagram :  
🌐 Twitter      :   

📌 For any queries or complaints Visit :  

#NDATestSeries #NDA02_2022 #DefenceWallah #NDAexam2022 #NDAprepration #NDA022022 #NDADefenceWallah #NDA #NDAprepration #ndaonlineclasses #NDAexamclasses #NDAexampattern #Free #Mocktest"
4,Polity Marathon for NDA-2 2022 Exams | ONE SHOT REVISION 👊🏻,"Fill out this form and get 200 coins on PW App after your exam.
Share your NDA journey with PW 👉  

📝 For complete notes of Lectures, visit SHAKTI 2.0 Batch in the Batch Section of PhysicsWallah App/Website
📲PW App Link -   
🌐PW Website -  
Timestamps - 
•        00:00 Introduction
•        04:10 Constitution
•        10:25 Making of the Indian Constitution
•        1:00:05 Indian Constitution
•        1:43:45 Preamble
•        2:27:50 Features of the Indian Constitution
•        2:50:55 Articles
•        5:00:00 Break
•        5:10:50 Continued
•        7:12:45 Important Amendments
•        8:40:35 Regards

----------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------
📌 PHYSICS WALLAH OTHER CHANNELS :

🌐 PhysicsWallah - Alakh Pandey:  
🌐 Alakh Pandey:  
🌐 Competition Wallah:  
🌐 JEE Wallah:  
🌐 PW Foundation:  
🌐 NCERT Wallah:  
🌐 PhysicsWallah English:  
🌐 PW Vidyapeeth:  
🌐 Commerce Wallah by PW:  
🌐 PW Sarkari Exam:  
🌐 PW- Hindi Medium:  
🌐 PW Bangla:  
🌐 PW Maharashtra:  
🌐 PW Telugu:  
🌐 PW Kannada:  
🌐 PW Gujarati:  
🌐 PW Facts:  
🌐 PW Insiders:  
🌐 PW Little Champs:  
🌐 PW Pathshala:  


📌 PHYSICS WALLAH SOCIAL MEDIA PROFILES :

🌐 Telegram  :  
🌐 Facebook :  
🌐 Instagram :  
🌐 Twitter      :   

📌 For any queries or complaints Visit :  

#Polity #NDA02_2022 #DefenceWallah 
#NDAexam2022 #NDAprepration #NDA022022 #NDADefenceWallah #NDA #NDAprepration #NDAonlineclasses #NDAexamclasses #NDAexampattern #Revision_For_NDA_02_2022"
5,Geography Marathon for NDA-2 2022 Exams | ONE SHOT REVISION 👊🏻,"Fill out this form and get 200 coins on PW App after your exam.
Share your NDA journey with PW 👉  

📝 For complete notes of Lectures, visit SHAKTI 2.0 Batch in the Batch Section of PhysicsWallah App/Website
📲PW App Link -   
🌐PW Website -  

Timestamps -
• 00:00 Introduction
• 03:25 Solar System
• 2:07:05 Latitude and Longitude
• 2:24:55 Interior of the Earth
• 2:31:55 Continental Drift Theory and other Theories
• 2:41:30 Plate Tectonics
• 2:55:00 Types of Rocks
• 2:57:15 Geomorphic Process
• 3:19:10 Erosion
• 3:37:05 Natural Geological Catastrophic Events
• 3:38:05 Break
• 4:02:55 Class Continues
• 4:18:10 Climatology
• 4:39:30 Atmospheric Circulation (Wind)
• 5:08:30 Humidity and Rain
• 5:28:30 Cyclone
• 5:47:15 Air Masses
• 6:01:45 Tropical Grassland
• 6:04:10 Movement of Ocean Water
• 6:40:55 Indian Geography

▶ NDA - 02 2022 Other Subject's One Shot Videos:  
----------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------
📌 PHYSICS WALLAH OTHER CHANNELS :

🌐 PhysicsWallah - Alakh Pandey:  
🌐 Alakh Pandey:  
🌐 Competition Wallah:  
🌐 JEE Wallah:  
🌐 PW Foundation:  
🌐 NCERT Wallah:  
🌐 PhysicsWallah English:  
🌐 PW Vidyapeeth:  
🌐 Commerce Wallah by PW:  
🌐 PW Sarkari Exam:  
🌐 PW- Hindi Medium:  
🌐 PW Bangla:  
🌐 PW Maharashtra:  
🌐 PW Telugu:  
🌐 PW Kannada:  
🌐 PW Gujarati:  
🌐 PW Facts:  
🌐 PW Insiders:  
🌐 PW Little Champs:  
🌐 PW Pathshala:  


📌 PHYSICS WALLAH SOCIAL MEDIA PROFILES :

🌐 Telegram  :  
🌐 Facebook :  
🌐 Instagram :  
🌐 Twitter      :   

📌 For any queries or complaints Visit :  

#Geography #NDA02_2022 #DefenceWallah 
#NDAexam2022 #NDAprepration #NDA022022 #NDADefenceWallah #NDA #NDAprepration #ndaonlineclasses #NDAexamclasses #NDAexampattern"
6,"Marathon Series for NDA - 2, 2022 Exam | The Last Fist 📚","Fill out this form and get 200 coins on PW App after your exam.
Share your NDA journey with PW 👉  

📲PW App Link -   
🌐PW Website -  

----------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------

📌 PHYSICS WALLAH OTHER CHANNELS :

🌐 PhysicsWallah - Alakh Pandey:  
🌐 Alakh Pandey:  
🌐 Competition Wallah:  
🌐 JEE Wallah:  
🌐 PW Foundation:  
🌐 NCERT Wallah:  
🌐 PhysicsWallah English:  
🌐 PW Vidyapeeth:  
🌐 Commerce Wallah by PW:  
🌐 PW Sarkari Exam:  
🌐 PW- Hindi Medium:  
🌐 PW Bangla:  
🌐 PW Maharashtra:  
🌐 PW Telugu:  
🌐 PW Kannada:  
🌐 PW Gujarati:  
🌐 PW Facts:  
🌐 PW Insiders:  
🌐 PW Little Champs:  
🌐 PW Pathshala:  


📌 PHYSICS WALLAH SOCIAL MEDIA PROFILES :

🌐 Telegram  :  
🌐 Facebook :  
🌐 Instagram :  
🌐 Twitter      :   

📌 For any queries or complaints Visit :  


#NDAMarathon #NDA2022 #DefenceWallah 
#NDAexam2022 #NDAprepration #NDA022022 #NDADefenceWallah #NDA #NDAprepration #NDAonlineclasses #NDAexamclasses #NDAexampattern #Revision_For_NDA_02_2022"
7,"Common Diseases, Biogas & Ozone : Biology | Theory | NDA Crash Course","Fill out this form and get 200 coins on PW App after your exam.
Share your NDA journey with PW 👉  

📝 For complete notes of Lectures, visit SHAKTI 2.0 Batch in the Batch Section of PhysicsWallah App/Website.
📲PW App Link -   
🌐PW Website -  

Timestamps - 
• 00:00 Introduction
• 01:05 Common Diseases
• 43:55 Practice Questions
• 49:15 Natural Resources
• 53:35 Biogas
• 1:01:55 Greenhouse Effect
• 1:08:55 Ozone
• 1:17:00 Practice Questions
• 1:19:20 Regards

▶ Biology One Shot Lectures SHAKTI 2.0 :  
----------------------------------------------------------------------------------------------------------------------

NOTE: This batch is completely FREE, you just have to click on the ""BUY NOW"" button for your enrolment.

🔴 Batch Details:-
….

✅ FREE Crash Course for NDA 2022

• This Batch is completely free for the students aiming for the NDA-2,2022 Exam.

• Faculties will cover all important topics from exam perspective.

• Classes will be held on our Defence Wallah YouTube channel from Monday to Friday.

• 2 Recorded classes will be provided for 2 Hours each and we will also be having Current Affairs and special Menti quiz sessions on weekends.

• PDF Notes for each class will be available on our PW App.

• Weekly schedules of the classes will be uploaded on the Defence wallah community page and Announcement section in App.

----------------------------------------------------------------------------------------------------------------------
📌 PHYSICS WALLAH OTHER CHANNELS :

🌐 PhysicsWallah - Alakh Pandey:  
🌐 Alakh Pandey:  
🌐 Competition Wallah:  
🌐 JEE Wallah:  
🌐 PW Foundation:  
🌐 NCERT Wallah:  
🌐 PhysicsWallah English:  
🌐 PW Vidyapeeth:  
🌐 Commerce Wallah by PW:  
🌐 PW Sarkari Exam:  
🌐 PW- Hindi Medium:  
🌐 PW Bangla:  
🌐 PW Maharashtra:  
🌐 PW Telugu:  
🌐 PW Kannada:  
🌐 PW Gujarati:  
🌐 PW Facts:  
🌐 PW Insiders:  
🌐 PW Little Champs:  
🌐 PW Pathshala:  


📌 PHYSICS WALLAH SOCIAL MEDIA PROFILES :

🌐 Telegram  :  
🌐 Facebook :  
🌐 Instagram :  
🌐 Twitter      :   

📌 For any queries or complaints Visit :  


#Biology #Shakti2_0 #Defencewallah #NDAexam2022 #NDAprepration #NDA02_2022 #NDAdefencewallah #NDA #NDAphysicswallah #Physicswallah #NDAonlineclasses #NDAexamclasses #NDAexampattern #NDA2022"
8,"आप Personality Test Fake नहीं कर सकते, Be Real 🙌 #Shorts #PhysicsWallah","Fill out this form and get 200 coins on PW App after your exam.
Share your NDA journey with PW 👉  

📲PW App Link -   
🌐PW Website -  


#PWshorts #Motivation #DefenceWallah #Physicswallah #Personality #SSB"
9,Banking & International Financial Organizations : Economics| Theory with MCQs | NDA Crash Course,"Fill out this form and get 200 coins on PW App after your exam.
Share your NDA journey with PW 👉  

📝 For complete notes of Lectures, visit SHAKTI 2.0 Batch in the Batch Section of PhysicsWallah App/Website.
📲PW App Link -   
🌐PW Website -  

In this lecture, we will study topics like –
• National Income which includes Gross Domestic Product (GDP), Gross National Product (GNP), Net Domestic Product (NDP), Net National Product (NNP) and Per Capita Income.
• International Organizations like United Nations (UN), United Nations General Assembly (UNGA), UN Security Council (UNSC), International Court of Justice (ICJ), International Monitory Fund (IMF), World Bank Group, New Development Bank (NDB), BRICS, SAARC, BIMSTEC, and NATO.
• Banking Systems like the Reserve Bank of India and its Monetary Policies.

Timestamps - 
• 00:00 Introduction
• 01:45 National Income
• 11:25 International Organizations
• 37:55 Taxes
• 40:25 Banking System
• 1:09:00 Regards

▶ Economics Lectures SHAKTI 2.0 :  
----------------------------------------------------------------------------------------------------------------------

NOTE: This batch is completely FREE, you just have to click on the ""BUY NOW"" button for your enrolment.

🔴 Batch Details:-
….

✅ FREE Crash Course for NDA 2022

• This Batch is completely free for the students aiming for the NDA-2,2022 Exam.

• Faculties will cover all important topics from exam perspective.

• Classes will be held on our Defence Wallah YouTube channel from Monday to Friday.

• 2 Recorded classes will be provided for 2 Hours each and we will also be having Current Affairs and special Menti quiz sessions on weekends.

• PDF Notes for each class will be available on our PW App.

• Weekly schedules of the classes will be uploaded on the Defence wallah community page and Announcement section in App.

----------------------------------------------------------------------------------------------------------------------
📌 PHYSICS WALLAH OTHER CHANNELS :

🌐 PhysicsWallah - Alakh Pandey:  
🌐 Alakh Pandey:  
🌐 Competition Wallah:  
🌐 JEE Wallah:  
🌐 PW Foundation:  
🌐 NCERT Wallah:  
🌐 PhysicsWallah English:  
🌐 PW Vidyapeeth:  
🌐 Commerce Wallah by PW:  
🌐 PW Sarkari Exam:  
🌐 PW- Hindi Medium:  
🌐 PW Bangla:  
🌐 PW Maharashtra:  
🌐 PW Telugu:  
🌐 PW Kannada:  
🌐 PW Gujarati:  
🌐 PW Facts:  
🌐 PW Insiders:  
🌐 PW Little Champs:  
🌐 PW Pathshala:  


📌 PHYSICS WALLAH SOCIAL MEDIA PROFILES :

🌐 Telegram  :  
🌐 Facebook :  
🌐 Instagram :  
🌐 Twitter      :   

📌 For any queries or complaints Visit :  

#Economics #NDA2022 #SHAKTI2_0 #Defencewallah 
#EconomicsNDA #NDA #NDAexam2022 #NDAprepration #NDA02_2022 #NDAdefencewallah #NDA #NDAphysicswallah #Physicswallah #NDAonlineclasses #NDAexamclasses #NDAexampattern #NDA2022"
