,Title,Description
0,CoCoMelon The ABC Song | @Cocomelon - Nursery Rhymes For kids,"SUBSCRIBE
 

It’s time to learn the alphabet! Sing the ABCs along with us!

YOU have been personally invited to the all-new Moonbug Kids - Spooky Halloween Stories for Kids channel. A spooooky channel, full of vampires, skeletons, ghosts, zombies, and your favourite Moonbug characters from Morphle to Buster. Get ready for our best spooky songs, stories, and nursery rhymes, we have in store for you. 
Enjoy our Spooky Halloween content developed for kids but also loved by parents alike. 

NEW videos three times per week! Make sure you subscribe so you don't miss out!

00;00 The ABC Song
03;39 Finger Family
05;55 Head Shoulders Knees & Toes
08;45 Are You Sleeping (Brother John)?
10;57 Toy Balloon Car Race
15;23 The Laughing Song
17;31 The Hiccup Song
19;43 Mary Had a Little Lamb
22;31 Hot Cross Buns
25;07 Breakfast Song
27;30 One Potato, Two Potatoes
30;31 This Is the Way

Check out our other amazing channels! 

@Moonbug- Cartoons and Nursery rhymes
 

@Moonbug kids – ABCs &123s 
 

@Moonbug kids – Moonbug Kids - Kids Stories and Fairy Tales
 
 
Playlists
#GoBuster
#TrickorTeat
#Halloween 
#Spooky
#Morphle 
#Littlebabybum 
#Storyforkids
#Blippi
#Cocomelon"
1,KiiYii - Duck Duck Goose | @KiiYii - Kids Songs | Play and Sing with KiiYii,"SUBSCRIBE
 

YOU have been personally invited to the all-new Moonbug Kids - Spooky Halloween Stories for Kids channel. A spooooky channel, full of vampires, skeletons, ghosts, zombies, and your favourite Moonbug characters from Morphle to Buster. Get ready for our best spooky songs, stories, and nursery rhymes, we have in store for you. 
Enjoy our Spooky Halloween content developed for kids but also loved by parents alike. 

NEW videos three times per week! Make sure you subscribe so you don't miss out!

00:00 Duck Duck Goose
02:11 Old Macdonald Had A Farm
04:01 Wheels On The Bus V4
06:06 Johny Johny Yes Papa V2 
07:50 Hello Song
09:42 Zoo Song
12:04 Wind The Bobbin Up
14:46 1, 2 What Shall We Do?
16:47 Teddy Bear Teddy Bear
19:02 Sleeping Bunnies

Check out our other amazing channels! 

@Moonbug- Cartoons and Nursery rhymes
 

@Moonbug kids – ABCs &123s 
 

@Moonbug kids – Moonbug Kids - Kids Stories and Fairy Tales
 
 
Playlists
#GoBuster
#TrickorTeat
#Halloween 
#Spooky
#Morphle 
#Littlebabybum 
#Storyforkids
#Blippi
#Cocomelon"
2,Learn Shapes and Numbers with a Toy Monster Truck | @Blippi - Educational Videos for Kids ​,"SUBSCRIBE
 

Learn Shapes and Learn Numbers while Blippi teaching kids numbers and shapes with toy monster trucks in his educational video for toddlers. Grave digger is the monster truck in this video that Blippi teaches you how to learn to count. 

YOU have been personally invited to the all-new Moonbug Kids - Spooky Halloween Stories for Kids channel. A spooooky channel, full of vampires, skeletons, ghosts, zombies, and your favourite Moonbug characters from Morphle to Buster. Get ready for our best spooky songs, stories, and nursery rhymes, we have in store for you. 
Enjoy our Spooky Halloween content developed for kids but also loved by parents alike. 

00:00 Learn Shapes and Numbers with a Toy Monster Truck
12:17 Rock Climbing, Cooks and Drinks Healthy Smoothies
32:14 Big Day Out at the Truck Garage with Tools Song
45:17 Aquarium of The Pacific
1:03:35 Spoke Bicycle Café
1:19:45 Danny's Farm
1:32:40 Blippi Visits a Farm
1:41:45 Blippi Recycles with Garbage Trucks
1:54:40 Blippi Learns about Body Parts
2:15:43 Amy's Playground - Exercise
2:27:04 Caring After Pets - Cute Animals in the Shelter
2:37:45 SD Scuba Diving

NEW videos three times per week! Make sure you subscribe so you don't miss out!

Check out our other amazing channels! 

@Moonbug- Cartoons and Nursery rhymes
 

@Moonbug kids – ABCs &123s 
 

@Moonbug kids – Moonbug Kids - Kids Stories and Fairy Tales
 
 
Playlists
#GoBuster
#TrickorTeat
#Halloween 
#Spooky
#Morphle 
#Littlebabybum 
#Storyforkids
#Blippi
#Cocomelon"
3,ARPO - Hide and Seek | @ARPO The Robot   | Funny Videos for Kids | Robots,"SUBSCRIBE
 

Daniel wants to play Hide and Seek and Apro is It. Arpo searches all over the house looking for Daniel but Daniel is outside flying on a kite!

YOU have been personally invited to the all-new Moonbug Kids - Spooky Halloween Stories for Kids channel. A spooooky channel, full of vampires, skeletons, ghosts, zombies, and your favourite Moonbug characters from Morphle to Buster. Get ready for our best spooky songs, stories, and nursery rhymes, we have in store for you. 
Enjoy our Spooky Halloween content developed for kids but also loved by parents alike. 

NEW videos three times per week! Make sure you subscribe so you don't miss out!

00:00 Hide and Seek
10:37 ET
21:15 Baby Bob
31:37 Rocket By Baby
41:44 Handle The Tooth
51:52 Robot Over The Rainbow

Check out our other amazing channels! 

@Moonbug- Cartoons and Nursery rhymes
 

@Moonbug kids – ABCs &123s 
 

@Moonbug kids – Moonbug Kids - Kids Stories and Fairy Tales
 
 
Playlists
#GoBuster
#TrickorTeat
#Halloween 
#Spooky
#Morphle 
#Littlebabybum 
#Storyforkids
#Blippi
#Cocomelon"
4,CoCoMelon - Color Kaleidescope | @Cocomelon - Nursery Rhymes For Kids,"SUBSCRIBE
 

YOU have been personally invited to the all-new Moonbug Kids - Spooky Halloween Stories for Kids channel. A spooooky channel, full of vampires, skeletons, ghosts, zombies, and your favourite Moonbug characters from Morphle to Buster. Get ready for our best spooky songs, stories, and nursery rhymes, we have in store for you. 
Enjoy our Spooky Halloween content developed for kids but also loved by parents alike. 

NEW videos three times per week! Make sure you subscribe so you don't miss out!

00;00 Color Kaleidescope
02;53 Three Little Pigs
06;03 The Sneezing Song
07;38 Please and Thank You Song
10;44 Johny Johny Yes Papa (Parents Version)
13;03 My Name Song
16;50 Old MacDonald
19;22 Clean Up Song
22;06 Sorry, Excuse Me
26;00 Doggy Hunt
28;45 Down by the Pond

Check out our other amazing channels! 

@Moonbug- Cartoons and Nursery rhymes
 

@Moonbug kids – ABCs &123s 
 

@Moonbug kids – Moonbug Kids - Kids Stories and Fairy Tales
 
 
Playlists
#GoBuster
#TrickorTeat
#Halloween 
#Spooky
#Morphle 
#Littlebabybum 
#Storyforkids
#Blippi
#Cocomelon"
5,KiiYii - I Hear Thunder | @KiiYii - Kids Songs | Play and Sing with KiiYii,"SUBSCRIBE
 

I Hear Thunder by KiiYii. Uh-Oh, what's that you hear? It's thunder! In this exciting children's song, watch as the best friends have to shelter from the pitter-patter raindrops falling from the sky!

YOU have been personally invited to the all-new Moonbug Kids - Spooky Halloween Stories for Kids channel. A spooooky channel, full of vampires, skeletons, ghosts, zombies, and your favourite Moonbug characters from Morphle to Buster. Get ready for our best spooky songs, stories, and nursery rhymes, we have in store for you. 
Enjoy our Spooky Halloween content developed for kids but also loved by parents alike. 

NEW videos three times per week! Make sure you subscribe so you don't miss out!

00:00 I Hear Thunder
02:07 5 Little Monsters
04:44 Shapes Song
06:53 Brush Teeth Song
09:31 Potty Song
11:03 Jack Sprat
13:02 Jack And Jill
14:42 This Little Piggy
16:49 1, 2 What Shall We Do?
18:50 Bake, Bake A Cake
20:42 Mr Sun

Check out our other amazing channels! 

@Moonbug- Cartoons and Nursery rhymes
 

@Moonbug kids – ABCs &123s 
 

@Moonbug kids – Moonbug Kids - Kids Stories and Fairy Tales
 
 
Playlists
#GoBuster
#TrickorTeat
#Halloween 
#Spooky
#Morphle 
#Littlebabybum 
#Storyforkids
#Blippi
#Cocomelon"
6,Blippi Visits a Chocolate Factory | @Blippi - Educational Videos for Kids,"SUBSCRIBE
 

YOU have been personally invited to the all-new Moonbug Kids - Spooky Halloween Stories for Kids channel. A spooooky channel, full of vampires, skeletons, ghosts, zombies, and your favourite Moonbug characters from Morphle to Buster. Get ready for our best spooky songs, stories, and nursery rhymes, we have in store for you. 
Enjoy our Spooky Halloween content developed for kids but also loved by parents alike. 

00:00 Blippi Visits a Chocolate Factory
23:40 Blippi Visits Outdoor Play Park
44:47 Sink or Float? V2
1:00:51 Learn about Backhoes V2
1:13:38 Woodward Skate Park
1:29:27 Blippi Plays with Construction Cones
1:35:53 Learn the Alphabet with ABC Boxes
2:16:32 Blippi Learns About Weight - Heavier or Lighter?

NEW videos three times per week! Make sure you subscribe so you don't miss out!

Check out our other amazing channels! 

@Moonbug- Cartoons and Nursery rhymes
 

@Moonbug kids – ABCs &123s 
 

@Moonbug kids – Moonbug Kids - Kids Stories and Fairy Tales
 
 
Playlists
#GoBuster
#TrickorTeat
#Halloween 
#Spooky
#Morphle 
#Littlebabybum 
#Storyforkids
#Blippi
#Cocomelon"
7,Gecko's Garage - Motorcycle Madness | @Gecko's Garage - Trucks For Children | Kids Cartoon,"SUBSCRIBE
 

YOU have been personally invited to the all-new Moonbug Kids - Spooky Halloween Stories for Kids channel. A spooooky channel, full of vampires, skeletons, ghosts, zombies, and your favourite Moonbug characters from Morphle to Buster. Get ready for our best spooky songs, stories, and nursery rhymes, we have in store for you. 
Enjoy our Spooky Halloween content developed for kids but also loved by parents alike. 

NEW videos three times per week! Make sure you subscribe so you don't miss out!

00:00 Motorcycle Madness
02:17 Baby Truck's First Visit
04:59 Fire Truck Fun
07:05 Runaway Caravan
09:08 Monster Truck Mix Up
11:16 Gecko Is Sick
13:21 Fiona's Super Siren
15:29 Trash Treasure Hunt
17:32 Magnet Mayhem
19:33 Gecko is Snoring
21:42 Weasel's New Wheels
23:53 Grandma Gecko's Sports Car Chase
26:02 Gecko is Sleepwalking
28:12 Bouncy Monster Truck
30:12 Smoky Day Clean Up
32:27 Gecko's Accident

Check out our other amazing channels! 

@Moonbug- Cartoons and Nursery rhymes
 

@Moonbug kids – ABCs &123s 
 

@Moonbug kids – Moonbug Kids - Kids Stories and Fairy Tales
 
 
Playlists
#GoBuster
#TrickorTeat
#Halloween 
#Spooky
#Morphle 
#Littlebabybum 
#Storyforkids
#Blippi
#Cocomelon"
8,CoCoMelon - Pasta Song | @Cocomelon - Nursery Rhymes For Kids,"SUBSCRIBE
 

YOU have been personally invited to the all-new Moonbug Kids - Spooky Halloween Stories for Kids channel. A spooooky channel, full of vampires, skeletons, ghosts, zombies, and your favourite Moonbug characters from Morphle to Buster. Get ready for our best spooky songs, stories, and nursery rhymes, we have in store for you. 
Enjoy our Spooky Halloween content developed for kids but also loved by parents alike. 

NEW videos three times per week! Make sure you subscribe so you don't miss out!

00;00 Pasta Song
03;09 12345 Once I Caught A Fish Alive!
04;58 Little Bunny Foo Foo
07;44 Teaching Directions
11;06 5 Little Animals
13;55 Soccer Song
16;45 Ice Cream Song
19;23 Furry Friends
22;16 Ba Ba Black Sheep (Play Pretend)
24;54 Opposites Song
28;01 The Colors Song (with Popsicles)
32;32 Shape Song

Check out our other amazing channels! 

@Moonbug- Cartoons and Nursery rhymes
 

@Moonbug kids – ABCs &123s 
 

@Moonbug kids – Moonbug Kids - Kids Stories and Fairy Tales
 
 
Playlists
#GoBuster
#TrickorTeat
#Halloween 
#Spooky
#Morphle 
#Littlebabybum 
#Storyforkids
#Blippi
#Cocomelon"
9,KiiYii - Rainbow Colors Song | @KiiYii - Kids Songs | Play and Sing with KiiYii,"SUBSCRIBE
 

Rainbow Colors Song by KiiYii. Join Kii and Yii in this colorful nursery rhyme for kids to learn and laugh! In this song, learn all about the different colors of the rainbow! 

YOU have been personally invited to the all-new Moonbug Kids - Spooky Halloween Stories for Kids channel. A spooooky channel, full of vampires, skeletons, ghosts, zombies, and your favourite Moonbug characters from Morphle to Buster. Get ready for our best spooky songs, stories, and nursery rhymes, we have in store for you. 
Enjoy our Spooky Halloween content developed for kids but also loved by parents alike. 

NEW videos three times per week! Make sure you subscribe so you don't miss out!

00:00 Rainbow Colors Song
01:58 Boo Boo Song
03:58 Rain Rain Go Away V2
06:38 Telling Time Song
08:37 Sick Song V2
10:28 Shapes Song Part 2
12:37 Pussy Cat Pussy Cat
14:24 Hey Diddle Diddle
16:41 Down By The Bay
18:45 Choo Choo Train V3

Check out our other amazing channels! 

@Moonbug- Cartoons and Nursery rhymes
 

@Moonbug kids – ABCs &123s 
 

@Moonbug kids – Moonbug Kids - Kids Stories and Fairy Tales
 
 
Playlists
#GoBuster
#TrickorTeat
#Halloween 
#Spooky
#Morphle 
#Littlebabybum 
#Storyforkids
#Blippi
#Cocomelon"
