,Title,Published_date,Views,Likes,Favorite,Comments,Month
0,Alright! | When Make Out Goes Wrong | Ft.  Kanikka Kapur & Anujj Sharma,2022-06-21,373608,17694,0,344,Jun
1,Alright! | When You Miss Your Dad | Ft. Ritik & Lokesh | Father's Day Special,2022-06-14,1059371,11316,0,344,Jun
2,"Alright! | Date With Senior | EP 4 | Long Distance Relationship | Ft. Parikshit, Kanikka & Tithi",2022-06-10,890764,43579,0,1039,Jun
3,"Alright! | Date With Senior | EP 3 | Long Distance Relationship | Parikshit, Kanikka, Tithi & Harsh",2022-06-07,969425,44771,0,1002,Jun
4,"Alright! | Relationship Issues - Girlfriend Vs Bestfriend | Ft. Mugdha, Parikshit & Simran",2022-05-31,1173071,54874,0,1033,May
5,"The Sarkari Karyalay | S03 EP02 | Life In A Govt Bank | Mugdha, Bibhu, Sourav & Lokesh | Alright!",2022-05-23,654192,13162,0,684,May
6,"The Sarkari Karyalay | S03 EP01 | Student Vs Bank | Mugdha, Bibhu, Sourav & Lokesh | Alright!",2022-05-21,669008,15438,0,494,May
7,"Alright's The Sarkari Karyalay | S03 | Official Teaser | Mugdha, Bibhu, Sourav & Lokesh",2022-05-19,86881,3881,0,153,May
8,"Alright! | Engineers Vs Placement | EP 2 | Ft. Mugdha, Anushka, Rajat & Vikhyat",2022-05-16,1034685,28685,0,885,May
9,"Alright! | Engineers Vs Placement | EP 1 | Ft. Mugdha, Anushka, Rajat & Vikhyat",2022-05-12,1367106,37143,0,850,May
10,Alright! | When Your Mother Is Your School Teacher | Ft. Ritik & Nilu Kohli | Mother's Day Special,2022-05-02,4461874,141968,0,2031,May
11,Couple Goals S3 | EP 4 | Love Behind The Scene | Aakash & Mugdha | Mini Web Series | Alright!,2022-04-29,2782804,159061,0,2734,Apr
12,Couple Goals S3 | EP 3 | Seeing Each Other? | Aakash & Mugdha | Mini Web Series | Alright!,2022-04-27,3172704,155558,0,2853,Apr
13,Couple Goals S3 | EP 2 | May I Kiss You? | Aakash & Mugdha | Mini Web Series | Alright!,2022-04-25,3917701,174927,0,3436,Apr
14,Couple Goals S3 | EP 1 | When Opposites Fall In Love | Aakash & Mugdha | Mini Web Series | Alright!,2022-04-22,5401994,267990,0,2283,Apr
15,Couple Goals S3 - Official Trailer | Aakash Gupta & Mugdha Agarwal | Mini Web Series | Alright!,2022-04-20,499300,19180,0,440,Apr
16,"Alright! | Date With Senior | EP 2 | Breakup in Office | Ft. Parikshit, Kanikka, Tithi",2022-04-18,1815041,84649,0,1450,Apr
17,"Alright! | Date With Senior | EP 1 | New Boss Vs Girlfriend | Ft. Parikshit, Kanikka & Tithi",2022-04-15,2717743,103860,0,1364,Apr
18,Girlfriend vs Parents | Love Marriage | EP 3 | Anjali & Parikshit | Mini Series | Alright!,2022-04-09,878382,52482,0,1326,Apr
19,Marrying Your Girlfriend | Love Marriage | EP 2 | Anjali & Parikshit | Mini Series | Alright!,2022-04-06,1528151,52708,0,729,Apr
20,When You Propose Your Girlfriend | Love Marriage | EP 1 | Anjali & Parikshit | Mini Series | Alright,2022-04-02,2218918,79560,0,1136,Apr
21,Love Marriage - Official Trailer | Anjali Barot & Parikshit Joshi | Mini Web Series | Alright!,2022-03-31,184292,8597,0,349,Mar
22,When You Love Your Neighbour | Modern Parivaar | Holi Special | Ft. Kritika | Alright!,2022-03-18,1497123,19754,0,534,Mar
23,When You Flirt With Neighbour | Modern Parivaar | Holi Special | Ft. Ritik & Sanyam | Alright!,2022-03-16,522957,13924,0,517,Mar
24,Why Not To Date An Engineer | Engineer Ki Ex | Part 2 | ft. Satish Ray & Twarita  | Alright!,2022-03-12,1267558,33226,0,1096,Mar
25,When Engineer Falls In Love | Engineer Ki Ex | Part 1 | ft. Satish Ray & Twarita | Alright!,2022-03-10,2159047,45871,0,1203,Mar
26,"Backpackers S2 | EP 3 | In Search Of Treasure | Anushka, Binita, Siddharth & Qabeer | Alright!",2022-03-04,446170,31325,0,931,Mar
27,"Backpackers S2 | EP 2 | When You Travel With Strangers| Anushka, Binita, Siddharth, Qabeer| Alright!",2022-03-01,1415155,29468,0,729,Mar
28,"Backpackers S2 | EP 1 | Life Ki Pehli Trip | Anushka, Binita, Siddharth & Qabeer | Alright!",2022-02-26,1457881,49625,0,1059,Feb
29,"Backpackers S2 - Official Trailer | Anushka, Siddharth, Binita & Qabeer | Mini Web Series | Alright!",2022-02-24,127880,5978,0,383,Feb
30,Alright! | How To Be Successful | Ep 2 | When Dreams Come True | Keshav Sadhna & Kanikka Kapur,2022-02-21,1498083,32608,0,618,Feb
31,"Alright! | How To Be Successful | Ep 1 | Pyaar vs Career | Keshav, Kanikka & Vikhyat",2022-02-19,1636791,35151,0,807,Feb
32,Alright! | Date With College Senior Soundtrack | Parikshit & Tithi | @Ashish Singh Rawat,2022-02-17,411859,18601,0,663,Feb
33,Alright! | Date With College Senior | Part 2 | Ft. Parikshit Joshi and Tithi Raaj,2022-02-16,1634263,99731,0,1446,Feb
34,Alright! | Date With College Senior | Part 1 | Ft. Parikshit Joshi and Tithi Raaj,2022-02-14,2699180,114677,0,1513,Feb
35,Alright! | Date With College Senior | Official Teaser | Ft. Parikshit Joshi and Tithi Raaj,2022-02-11,187394,8102,0,235,Feb
36,Father vs Daughter | Modern Parivaar | Ft. Kritika Avasthi | Alright!,2022-01-10,1014757,14830,0,532,Jan
37,When You Sneak Out With Boyfriend | Modern Parivaar | Ft. Kritika Avasthi | Alright!,2022-01-06,913190,17727,0,381,Jan
38,Bachpan Ka Pyaar | Part 2 | Ft. Twarita Nagar & Keshav Sadhna | Alright!,2021-12-30,872249,64999,0,902,Dec
39,Bachpan Ka Pyaar | Part 1 | Ft. Twarita Nagar & Keshav Sadhna | Alright!,2021-12-27,1942798,81101,0,779,Dec
40,Ishq With Alright! | Thank You Alright! Squad,2021-12-15,68914,3668,0,234,Dec
41,"Kuch Love Jaisa EP 4 - What Happens After Kiss? | Web Series | Ft. Aadar, Simran & Badri | Alright!",2021-12-06,793655,88999,0,2096,Dec
42,"Kuch Love Jaisa EP 3 - When They End Up Kissing | Web Series | Ft. Aadar, Simran & Badri | Alright!",2021-12-01,892445,68380,0,1991,Dec
43,"Kuch Love Jaisa EP 2 - When Hate Turns To Love | Web Series | Ft. Aadar, Simran & Badri | Alright!",2021-11-27,831500,77690,0,981,Nov
44,"Kuch Love Jaisa EP 1 - Teacher Met A Comedian | Web Series |Ft. Aadar, Simran & Badri | Alright!",2021-11-24,1154995,49886,0,533,Nov
45,"Kuch Love Jaisa - Official Trailer | Ft  Aadar Malik, Simran Kaur & Badri Chavan | Alright!",2021-11-22,173965,7606,0,205,Nov
46,"Life in an Engineering Hostel | Ft Abhishek Kapoor, Sanyam Sharma, Karpoor Gaurav & Binita| Alright!",2021-11-19,847596,42574,0,526,Nov
47,"When You Invite Your Girlfriend on Diwali | Modern Parivaar | Ft. Kritika, Alam & Kanikka | Alright!",2021-11-03,1140121,53592,0,925,Nov
48,"Siblings vs. Parents on Diwali | Modern Parivaar | Ft. Kritika, Alam & Kanika | Alright!",2021-11-01,669088,28423,0,1130,Nov
49,When Mom And Boyfriend Live-in Together | Live-in Relationship | Part 2 | Shreya & Keshav | Alright!,2021-10-30,1433972,73128,0,926,Oct
50,When Boyfriend Moves in Together | Live-in Relationship | Part 1 | Ft. Shreya & Keshav | Alright!,2021-10-28,1774632,70552,0,1149,Oct
51,"Alright! | Date With Senior | Office Romance 2/2 | Ft. Anushka Kaushik, Parikshit Joshi & Vikhyat G",2021-10-22,1893865,107876,0,1059,Oct
52,"Alright! | Date With Senior | Office Romance 1/2 | Ft. Anushka Kaushik, Parikshit Joshi & Vikhyat G",2021-10-19,3110557,109418,0,1753,Oct
53,"Roomies In Mafialand | S03 | Official Trailer | Ft. Swagger Sharma, Nikhil Vijay & Badri | Alright!",2021-10-17,278135,14135,0,246,Oct
54,"Roomies Vs Police | Ep 3/3 | Roomies In Scamland | Ft. Swagger Sharma, Nikhil V & Badri | Alright!",2021-10-15,965636,52539,0,737,Oct
55,"Roomies Vs Love | Ep 2/3 | Roomies In Scamland | Ft. Swagger Sharma, Nikhil Vijay & Badri | Alright!",2021-10-12,1391738,82666,0,1238,Oct
56,"Roomies Vs Scam | Ep 1/3 | Roomies In Scamland | Ft. Swagger Sharma, Nikhil Vijay & Badri | Alright!",2021-10-09,2256233,115635,0,1668,Oct
57,"Roomies In Scamland | S02 | Official Trailer | Ft. Swagger Sharma, Nikhil Vijay & Badri | Alright!",2021-10-07,245646,13163,0,766,Oct
58,"Life Of An Average Guy | Ft. Abhishek Kapoor, Twarita Nagar & Santana Roach | Alright!",2021-10-05,2595471,76402,0,1513,Oct
59,When You Hire Your Bestfriend | Ep 2/2 | Office Days | Ft. Kritika Avasthi & Nikhil Vijay | Alright!,2021-09-29,509092,25482,0,473,Sep
60,"Roomies In Scamland | S02 | Official Teaser | Ft. @Swagger Sharma, Nikhil Vijay & Badri | Alright!",2021-09-26,175116,9088,0,326,Sep
61,"When Your Crush Is A Gamer | Ft. Twarita Nagar, Abhishek Kapoor & Ketan Patel | Alright!",2021-09-24,957837,78997,0,3024,Sep
62,When You Become Boss | Ep 1/2 | Office Days | Ft. Kritika Avasthi & Nikhil Vijay | Alright!,2021-09-22,1102809,46429,0,800,Sep
63,Relationship Ke Side Effects | Ep 2/2 | Girlfriends | Ft. Twarita Nagar & Alisha Chopra | Alright!,2021-09-20,285074,18303,0,382,Sep
64,"Orgasm Zaruri Hai | Ep 1/2 | Girlfriends | Ft. Twarita Nagar, Alisha Chopra & Santana | Alright!",2021-09-18,588685,26394,0,492,Sep
65,"Alright! | What If Junior Becomes Boss? | Ft. Twarita Nagar, Abhishek Kapoor & Keshav Sadhna",2021-09-01,1748878,97215,0,1104,Sep
66,Modern Parivaar | EP 3/3 Canada Wala Scam | Ft. Kritika Avasthi & Alam Khan | Web Series | Alright!,2021-08-25,776349,37175,0,844,Aug
67,Modern Parivaar | EP 2/3 Family vs Society | Ft. Kritika Avasthi & Alam Khan | Web Series | Alright!,2021-08-20,1179926,38698,0,750,Aug
68,Modern Parivaar | EP 1/3 Love Affair | Ft. Kritika Avasthi & Alam Khan | Mini Web Series | Alright!,2021-08-14,2208011,55201,0,1151,Aug
69,Modern Parivaar - Official Trailer | Ft. Kritika Avasthi & Alam Khan | Mini Web Series | Alright!,2021-08-13,220970,6374,0,314,Aug
70,"Alright! | Date With Police | Ft. Kritika Avasthi, Abhishek Kapoor & Bibhu Nandan Singh",2021-08-06,1091977,66688,0,1002,Aug
71,Alright! | Date With Senior Soundtrack | School Romance | Ft. Anushka Kaushik & Parikshit Joshi,2021-07-29,483608,23514,0,959,Jul
72,"Alright! | Date With Senior | School Romance EP 2 | Ft. Anushka Kaushik, Parikshit & Abhishek",2021-07-19,3909977,284064,0,6324,Jul
73,"Alright! | Date With Senior | School Romance EP 1 | Ft. Anushka Kaushik, Parikshit & Abhishek",2021-07-15,5429380,259542,0,3892,Jul
74,Alright! | When your Roommate is a UPSC Aspirant Ft. Keshav Sadhna & Parikshit Joshi,2021-07-12,1913539,119477,0,1781,Jul
75,"Alright! | Meri Pehli Ex Ft. Badri Chavan, Khushbu Baid & Anusha Mishra",2021-07-03,231090,14709,0,831,Jul
76,Couple Goals S2 | Ep 3/3: Couple's Secret | Mini Web Series | Shreya Gupto & Keshav Sadhna |Alright!,2021-06-29,715141,51565,0,1253,Jun
77,Couple Goals S2 | Ep 2/3: Mission S*X | Mini Web Series | Shreya Gupto & Keshav Sadhna | Alright!,2021-06-26,2114967,80934,0,1630,Jun
78,Couple Goals S2 | Ep 1/3: Entrepreneurs! | Mini Web Series | Shreya Gupto & Keshav Sadhna | Alright!,2021-06-23,1464021,104662,0,1842,Jun
79,Couple Goals S2 - Official Trailer | Mini Web Series | Shreya Gupto & Keshav Sadhna | Alright!,2021-06-21,193958,7483,0,759,Jun
80,"Alright! | When Fathers Get Emotional Ft.  Anubha, Qabeer & Lokesh Mittal | Father's Day Special",2021-06-19,1111703,31877,0,160,Jun
