,Title,Published_date,Views,Likes,Favorite,Comments,Month
0,When Girls Drunk Dial Ft. Nidhi Sahu | Girliyapa,2022-06-17,116498,6435,0,245,Jun
1,When Jo stood up for her friends,2022-06-14,1809,66,0,2,Jun
2,What do women really want?,2022-06-13,31261,1183,0,17,Jun
3,Girls and Phir se Bargaining Ft. Khushbu Baid and Nidhi Sahu | Girliyapa,2022-06-10,286192,16587,0,195,Jun
4,Demanding Customer,2022-06-07,60278,1997,0,12,Jun
5,Lalli Singh Chaddha | Girliyapa Originals,2022-06-04,206153,10873,0,500,Jun
6,Girliyapa's Girls and Ladies Tailor Ft. Khushbu Baid and Nidhi Sahu,2022-06-02,359296,18295,0,348,Jun
7,Girliyapa's Girls and Lovebites Ft. Khushbu Baid and Nidhi Sahu,2022-05-27,496694,22357,0,282,May
8,Girliyapa's Honest Girls At A Bar Ft. Khushbu Baid and Nidhi Sahu,2022-05-20,140350,9585,0,131,May
9,Girliyapa's Beta Shaadi Karlo,2022-05-13,110659,6962,0,260,May
10,Girliyapa's Every Desi Mom Ever,2022-05-08,80058,5249,0,117,May
11,Bas Equality Chahiye,2022-05-06,178537,6448,0,45,May
12,Mid Week Mood Be Like:,2022-05-04,61200,2804,0,14,May
13,Girliyapa's Girls & IPL,2022-04-29,70978,4146,0,248,Apr
14,Life of an Introvert,2022-04-27,167527,4217,0,11,Apr
15,Girliyapa's Girls & Vacation,2022-04-26,84947,5115,0,97,Apr
16,Hairfall ka Horror,2022-04-24,42397,1359,0,6,Apr
17,Girliyapa's Breakup with Parlour Didi,2022-04-22,165709,12184,0,290,Apr
18,Alia Ranbir Wedding Planning | LEAKED FOOTAGE,2022-04-19,237233,13215,0,305,Apr
19,Girliyapa's Girls and Dieting,2022-04-15,117619,7576,0,112,Apr
20,A Dream Resignation,2022-04-09,162050,8866,0,67,Apr
21,Girliyapa's Honest Beauty Parlour,2022-04-08,219092,13783,0,144,Apr
22,Girliyapa's Honest Gynaecologist Ft. Khushbu Baid,2022-04-02,559233,26743,0,303,Apr
23,Girliyapa's Girls and PT Class Ft. Riva Arora,2022-03-30,293807,12190,0,227,Mar
24,Girliyapa's Bearded VS Clean Shaven,2022-03-25,197453,10962,0,434,Mar
25,Timeless excuse to not share your number,2022-03-22,89229,3219,0,12,Mar
26,Every Brown Kid Ever,2022-03-20,3514761,111099,0,426,Mar
27,Girliyapa's Excuses Girls Give To Not Share Their Phone Number | Girliyapa Originals,2022-03-17,141223,8803,0,138,Mar
28,Breakup with an Influencer,2022-03-15,101508,3693,0,12,Mar
29,Girliyapa's Excuses Girls Give To Break-up | Girliyapa ChickiLeaks Ft. Heartbroken Guys,2022-03-12,213397,12680,0,222,Mar
30,Mom Knows It All,2022-03-10,350827,10509,0,9,Mar
31,If Iconic Bollywood Characters Were Women Part 2 | Girliyapa Originals,2022-03-08,137198,7233,0,232,Mar
32,Hum Aapke Hain Mom | Episode 3 - How He Met My Mother | Girliyapa Originals,2022-03-04,1205923,23261,0,429,Mar
33,Girls Buying Bras | Girliyapa,2022-03-01,852861,37645,0,384,Mar
34,Hum Aapke Hain Mom | Episode 2 - Tujhe Sab Hai Pata Meri Maa | Girliyapa Originals,2022-02-25,1063309,20287,0,312,Feb
35,Girliyapa's Girls and Bargaining,2022-02-22,304403,20830,0,274,Feb
36,Hum Aapke Hain Mom | Episode 1 - Tu Jaanta Hai Meri Maa Kaun Hai | Girliyapa Originals,2022-02-18,1153110,21322,0,303,Feb
37,"Girliyapa's Hum Aapke Hain Mom Trailer Ft. Revathi Pillai, Shabnam Vadhera and Shivam Khanna",2022-02-16,296805,5766,0,55,Feb
38,When Mom Reads your Tinder Bio,2022-02-06,2538173,120470,0,172,Feb
39,Things Not to do While Drunk,2022-02-05,306289,13777,0,47,Feb
40,Girls Buying a Condom,2022-01-25,371826,12152,0,97,Jan
41,How to spot a Fuckboy,2022-01-23,106289,4978,0,72,Jan
42,Girliyapa's When Your Boyfriend Tries To Be A Woke Feminist Ft. Jasmeet and Anushka Kaushik,2022-01-18,265287,11684,0,435,Jan
43,Mom's Ultimate Weapon,2022-01-16,5238945,145157,0,264,Jan
44,Savage reply to 'You're not like other girls',2022-01-15,1194129,91626,0,1141,Jan
45,Every Introvert Ever,2022-01-09,20115203,1159382,0,1416,Jan
46,That one Badass woman in every group,2022-01-08,8453108,338079,0,1031,Jan
47,Girliyapa's If Breakup Was Like Resignation Ft. Saloni Gaur & Saad Bilgrami,2022-01-04,206244,9903,0,311,Jan
48,Honest Dating Dhamki,2022-01-03,1718565,65242,0,192,Jan
