,Title,Published_date,Views,Likes,Favorite,Comments,Month
0,"First Time With Girlfriend Ft.Anushka, Parikshit, Twarita| Ep 4 |Boys Hostel|Hasley India| WebSeries",2022-06-24,132093,13238,0,134,Jun
1,"Girls In Boys Hostel Ft. Anushka, Parikshit, Twarita | Ep 3 | Boys Hostel | Hasley India | WebSeries",2022-06-17,620610,29019,0,275,Jun
2,"Crush On Senior Ft. Anushka, Parikshit & Usmaan | EP 2 | Boys Hostel | Web Series | Hasley India",2022-06-10,497232,26703,0,299,Jun
3,"Strike In Hostel Ft. Parikshit, Anushka, Usmaan | EP 1 | Boys Hostel | Web Series | Hasley India",2022-06-03,683385,35421,0,367,Jun
4,"Boys Hostel Official Trailer Ft. Parikshit Joshi, Usmaan, Rishabh, Anushka & Twarita | Hasley India",2022-05-30,107078,6517,0,127,May
5,"Work From Hills | EP 5 | Is This The End? Ft. Mugdha Agarwal, Usmaan| Hasley India | Web Series",2022-05-16,505698,33166,0,792,May
6,"Work From Hills | EP 4 | Accepted or Rejected? Ft. Mugdha Agarwal, Usmaan| Hasley India | Web Series",2022-05-09,565937,33989,0,746,May
7,Work From Hills | EP 3 | Lost Or Found ? | Ft. Mugdha Agarwal & Usmaan | Web Series | Hasley India,2022-05-03,534897,31871,0,509,May
8,Work From Hills | EP 2 | Friends Or Enemies? Ft. Mugdha Agarwal & Usmaan | Web Series | Hasley India,2022-04-26,646595,33769,0,534,Apr
9,"Work From Hills | EP 1 | Girl In The Hills Ft. Mugdha, Usmaan, Abhishek | Hasley India Originals!",2022-04-20,888134,46731,0,470,Apr
10,"Work From Hills | Webseries | Trailer Ft. Mugdha Agarwal, Usmaan, Abhishek & Binita | Hasley India",2022-04-17,147227,9126,0,191,Apr
11,Date With A Gamer Ft. Triggered Insaan | Hasley India Originals!,2022-04-15,1202344,106079,0,2114,Apr
12,The Interview | Poles Apart | EP 3 Ft. Twarita Nagar & Gaurav Arora | Webseries | Hasley India,2022-04-13,215525,12346,0,228,Apr
13,"Rich Vs Middle Class | Poles Apart | EP 2 Ft. Twarita, Gaurav Arora & Usmaan  | Hasley India",2022-04-07,263013,15105,0,351,Apr
14,"The Break Up | Poles Apart | EP 1 Twarita Nagar, Gaurav Arora & Usmaan | Webseries | Hasley India",2022-04-03,405202,20563,0,493,Apr
15,Poles Apart | Trailer | Webseries | S2 Ft.Gaurav Arora & Twarita Nagar | Hasley India Originals!,2022-03-30,85461,5483,0,1096,Mar
16,"Life Of An Mbbs Student Ft. Twarita Nagar, Abhishek Kapoor | Hasley India Originals",2022-03-20,861171,48966,0,848,Mar
17,"Date With Nurse | EP 2 | Close But Apart Ft. Twarita Nagar, Usmaan,Qabeer | Hasley India Originals",2022-03-08,448727,23608,0,417,Mar
18,"Date With Nurse | EP 1 | Ishq In Hospital Ft. Twarita Nagar, Usmaan, Qabeer | Hasley India Originals",2022-02-25,675700,33931,0,610,Feb
19,"Dating College Junior | Ep 3 | Senior Vs Junior Ft. Mugdha, Abhishek, Usmaan & Binita | Hasley India",2022-02-17,1025381,75169,0,1530,Feb
20,"Dating College Junior | Ep 2 | Dosti Vs Pyaar Ft. Mugdha, Abhishek, Usmaan & Binita | Hasley India",2022-02-09,1403963,78718,0,1171,Feb
21,"Dating College Junior | EP 1 Ft. Abhishek,Usmaan,Mugdha,Binita| Webseries | Hasley India Originals!",2022-02-01,1677472,86722,0,971,Feb
22,"Dating College Junior | Season 2 Trailer | Ft. Abhishek, Usmaan, Mugdha & Binita | Hasley India",2022-01-28,311481,19029,0,456,Jan
23,"Waking Up With A Stranger Ft. Twarita Nagar, Keshav Sadhna | Hasley India Originals!",2022-01-20,1127764,45336,0,387,Jan
24,When It's Your First Time In Car FT. Usmaan & Pratishtha Sharma | Hasley India Originals!,2022-01-11,349816,18174,0,259,Jan
25,Meeting Ex On Her Wedding Ft. Mugdha Agarwal & Vikram Bhui | Hasley India Originals!,2022-01-03,413035,26070,0,779,Jan
26,How to Introduce your girlfriend | Comedy Video | Hasley India Originals!,2021-12-27,248682,14775,0,134,Dec
27,"Last Day Of Relationship Ft. Abhishek Kapoor, Usmaan & Binita | Hasley India",2021-12-14,754265,45675,0,756,Dec
28,Date With School Teacher | Twarita Nagar & Qabeer Singh | Hasley India Originals!,2021-12-08,797147,44763,0,888,Dec
29,"Couples During Double Date Ft. Usmaan, Twarita, Qabeer & Binita | Hasley India Originals!",2021-11-25,536649,33902,0,387,Nov
30,"When Your Bestfriend Gets Pregnant Ft. Usmaan, Twarita Nagar & Binita | Hasley India Originals!",2021-11-10,2433015,115073,0,1119,Nov
31,"Squid Game In India Ft. Abhinav Anand, Twarita Nagar | Hasley India Originals!",2021-11-03,971088,53015,0,590,Nov
32,"Dating In Office | EP 3 | Ft. Anushka, Twarita, Usmaan & Qabeer | Hasley India Originals | Webseries",2021-10-28,779907,46468,0,631,Oct
33,"Dating In Office | EP 2 | Ft. Anushka Kaushik, Twarita & Usmaan | Hasley India Originals | Webseries",2021-10-22,943083,45945,0,647,Oct
34,Dating In Office | EP 1| Ft. Anushka Kaushik & Usmaan | Webseries | Hasley India Originals!,2021-10-16,1455732,60042,0,1121,Oct
35,"Last Year Of College Life Ft. Twarita Nagar, Abhishek & Usmaan | Hasley India Originals!",2021-10-09,1868386,104840,0,1259,Oct
36,Life Of A Backbencher Ft. Abhishek Kapoor & Usmaan | Hasley India Originals!,2021-09-30,1729681,105354,0,1526,Sep
37,"Love On Arrival | EP4 | Ft. Usmaan, Twarita & Pratishtha | Webseries | Hasley India Originals!",2021-09-24,855550,57520,0,1377,Sep
