,Title,Published_date,Views,Likes,Favorite,Comments,Month
0,Bro Code 4 | The Screen Patti,2022-06-22,315446,20889,0,522,Jun
1,Father's Day Celebration In Indian Style  | TSP,2022-06-19,118641,6221,0,21,Jun
2,Rabish Ki Report Deleted Scene | TSP,2022-06-16,134977,7838,0,86,Jun
3,Every govt school boy ever | TSP,2022-06-11,128962,5405,0,51,Jun
4,Laal Singh Chaddha Spoof | The Screen Patti,2022-06-02,2083924,152459,0,8332,Jun
5,Laal Chaddha and Gajju,2022-05-29,132654,5541,0,34,May
6,"TSP's If Superstitions Were Real 3 | Ft. Shivankit Parihar, Saad Bilgrami & Anandeshwar Dwivedi",2022-05-27,881251,48822,0,1107,May
7,"Tsp's Kisse Sarkari Naukari ke | Ft. Anant Singh 'Bhaatu', Anandeshwar Dwivedi & Vaibhav Shukla",2022-05-23,770836,45124,0,1625,May
8,NEIGHBOURS | E03- Andheri Raat Ft.Anandeshwar Dwivedi and Anant Singh 'Bhatu' | TSP Originals,2022-05-12,310919,14986,0,527,May
9,NEIGHBOURS | E02-Parcel Ki Adla Badli Ft.Anandeshwar Dwivedi and Anant Singh 'Bhatu' | TSP Originals,2022-05-06,363450,15847,0,436,May
10,"NEIGHBOURS | E01 - Nayi Padosan | Ft. Ankit Motghare, Prakhar Sharma & Monica Sharma | TSP Originals",2022-04-29,541163,23621,0,579,Apr
11,Neighbours | Official Trailer | Ft. Anandeshwar Dwivedi & Anant Singh Bhaatu | TSP Originals,2022-04-27,115383,4786,0,149,Apr
12,This Scene has a separate fan base 😜,2022-04-20,4474811,144330,0,701,Apr
13,Crush makes you crazy,2022-04-10,124726,4007,0,29,Apr
14,Tsp's kisse Sarkari Aspataal ke | किस्से सरकारी अस्पताल के Ft. Abhinav Anand & Anant Singh 'Bhaatu',2022-04-01,957652,47404,0,1007,Apr
15,TSP'S Kekda Tank India | Shark Tank Spoof,2022-03-24,1219259,59469,0,2021,Mar
16,"Big B Holi Party Ft. Shivankit Parihar, Anandeshwar Dwivedi, Ankit Motghare",2022-03-16,1864101,132889,0,4143,Mar
17,"Elections In Different States | Not ft. Shivankit, Badri & Bade-Chote",2022-03-12,1077724,61328,0,1614,Mar
18,When Ex ki yaad hits you hard 😪,2022-03-06,166160,7571,0,36,Mar
19,"TSP’s Rabish Ki Report | Valentine's Day Special ft. Shivankit Parihar, Badri Chavan, Khushboo Baid",2022-02-13,2830709,197082,0,8175,Feb
20,THE BRO CODE 😎👊,2022-02-11,12982922,1124705,0,890,Feb
21,Engineering is the first step of everything 😌,2022-02-09,1529510,78887,0,202,Feb
22,"When you can't Say no, you face many problems 😪",2022-02-06,1045188,56191,0,335,Feb
23,An honest Funeral 😜,2022-02-04,7392646,353695,0,862,Feb
24,"Nahi bolte hum Rant, Hum Bhadaas bolte hain 🔥",2022-01-31,3161111,173954,0,438,Jan
25,Raja Rabish's Friday plans 🕺🍻,2022-01-28,232664,16061,0,98,Jan
26,When you Date a UPSC Aspirant 😂❤,2022-01-23,7051171,375562,0,998,Jan
27,सावधान इंडिया Spoof 4- ‘खूनी भाभी’ | TSP’s Bade Chote,2022-01-21,3519073,224874,0,7120,Jan
28,Hum Tum's Propose 😍,2022-01-15,9398225,508812,0,1905,Jan
29,Haq se Single 😎,2022-01-09,836543,54600,0,256,Jan
30,"TSP's BAAP BAAP HOTA HAI | Ep 13 : BIKE KI CHORI Ft. Abhinav Anand & Anant Singh ""Bhaatu""",2022-01-04,2367677,143198,0,3018,Jan
31,When you belong to a middle class indian  family 😜,2021-12-29,689672,34969,0,273,Dec
32,Vicky - Kat ki shadi ki boliyaan 🥳,2021-12-17,667593,32746,0,422,Dec
33,"TSP's Behind The Scenes | Ep05 : Vicky & Katrina's Wedding Ft. Shivankit Parihar, Pratish & Abhinav",2021-12-12,5489385,324640,0,14621,Dec
34,"TSP's Crush on your Best Friend's Girlfriend Ft. Badri Chavan, Ambrish Verma & Kangan Nangia",2021-12-10,897504,44338,0,1023,Dec
35,Weekend Party scenes 🍻 GIRLS VS. BOYS,2021-12-05,312262,16427,0,98,Dec
36,"Swapndosh 11 ft. Dhawan, Pandya, Kohli & Shastri",2021-11-17,1112644,66081,0,1300,Nov
37,TSP’s IND VS PAK Special / Inzy Bhai Unboxing ‘Cricket Kit’,2021-10-23,1867461,129540,0,5841,Oct
38,"TSP’s Baap Baap Hota Hai | Ep12 : Politician Beta ft. Abhinav Anand, Anant Singh 'Bhatu'",2021-09-15,2347894,124344,0,2412,Sep
39,TSP's Bade Chote || Gatron Ke Khiladi 2,2021-08-28,4716971,272481,0,6070,Aug
40,"TSP’s Teen Tigaada Kaam Bigaada | E03 Ladki Ka Chakkar ft. Nikhil Vijay, Alam Khan & Vaibhav Shukla",2021-08-11,439405,19044,0,443,Aug
41,"TSP’s Teen Tigaada Kaam Bigaada | E02 Darr Ka Saamna ft. Nikhil Vijay, Alam Khan & Vaibhav Shukla",2021-08-04,567970,22996,0,582,Aug
42,"TSP’s Viral Biryani | Naughty Kundra ft. Anandeshwar Dwivedi, Vaibhav Shukla",2021-07-31,569505,40037,0,914,Jul
43,"Sandeep Bhaiya शादी वाले ft. Sunny Hinduja, Rabish Kumar, Abhinav Anand, Anant Singh ‘Bhaatu’",2021-06-26,2570409,158386,0,6327,Jun
44,"TSP's Ek Din Ka Principal ft. Badri Chavan, Abhinav Anand & Saad Bilgrami",2021-06-12,3323967,190457,0,4160,Jun
45,"TSP’s Teen Tigaada Kaam Bigaada | E01 Live Match ft. Nikhil Vijay, Alam Khan & Vaibhav Shukla",2021-04-09,1094608,41153,0,768,Apr
46,"TSP’s Rabish Ki Report | Ep 15 : IPL Special ft. Shivankit Parihar, Badri Chavan, Abhinav Anand",2021-04-01,3002971,177156,0,13999,Apr
47,"TSP’s Baap Baap Hota Hai | Ep11 : Influencer Beta ft. Abhinav Anand, Anant Singh 'Bhatu'",2021-03-16,1708472,86479,0,2228,Mar
48,"TSP’s Baap Baap Hota Hai | Ep10 : Bete Ka Startup ft. Abhinav Anand, Anant Singh 'Bhatu'",2021-02-24,2390071,121657,0,2576,Feb
49,"TSP’s Baap Baap Hota Hai | Ep09 : Bete Ka Result ft. Abhinav Anand, Anant Singh 'Bhatu'",2021-02-20,2820356,145545,0,3108,Feb
50,TSP's Kangana and Diljit on a Date,2021-02-15,976849,65051,0,4207,Feb
51,"TSP’s Behind The Scenes | Ep04 : Virushka ki Baby Party | Ft. Virat, Anushka & Pandya",2021-01-20,2739744,156576,0,5391,Jan
52,TSP's Baap Baap Hota Hai | Ep08 : Goa Ki Permission,2020-12-22,2233656,135984,0,3013,Dec
53,TSP's Googly Yaad Hai ft. Badri Chavan and Sachin Negi,2020-12-17,705789,41566,0,969,Dec
54,"TSP’s School Diaries | 10th ke baad kya hoga? ft. Pratish, Urvi & Saad",2020-12-10,1989765,110005,0,2926,Dec
55,TSP's If Big B was an ATM ft. Shivankit Parihar & Khushbu Baid,2020-12-02,1270827,71850,0,1885,Dec
56,TSP’s Jab We Met Raavan ft. Gagan Arora & Shivankit,2020-11-07,1658095,69773,0,2526,Nov
