,Title,Published_date,Views,Favorite,Month
0,"Girlfriend Vs Best Friend Ft. Abhishek Chauhan, Saloni Gaur & Srishti Ridhani",2022-06-24,97941,0,Jun
1,Papa Aur Garmi Ki Chutti ft. Anandeshwar Dwivedi and Prakhar Sharma,2022-06-21,509775,0,Jun
2,"Father's Day Special: Papa Main Bada Ho Gaya Hoon Ft. Mayur More, Badri Chavan & Rajendra Chawla",2022-06-18,865707,0,Jun
3,The scene which gave us goosebumps! #PanchayatS2 #TVF #TheViralFever,2022-06-13,1119125,0,Jun
4,Drop a ❤️for this scene! #PanchayatS2 #TVF #TheViralFever,2022-06-09,316449,0,Jun
5,When your nu**s get leaked | All DaduGiri episodes out now! | TheViralFever #shorts,2022-06-04,108601,0,Jun
6,"TVF's Bhartiya Salon Qtiyapa Ft. Abhinav Anand, Saad Bilgrami & Anandeshwar Dwivedi",2022-05-31,952727,0,May
7,Signs that aapka kat gaya hai! | DaduGiri #Shorts ft. Mayur More & Sharat Saxena,2022-05-29,108414,0,May
8,"Girlfriend: I’m home alone | Me in my mind: | DaduGiri #Shorts ft. Mayur More, Sharat Saxena, Ranjan",2022-05-28,117950,0,May
9,"TVF's DaduGiri | E05 - Goa Ka Plan Aur Dadaji ft. Mayur More, Sharat Saxena & Ranjan Raj",2022-05-26,418273,0,May
10,"TVF's DaduGiri | E04 - Dadaji Aur House Party ft. Mayur More, Sharat Saxena & Ranjan Raj",2022-05-21,407035,0,May
11,TVF's Panchayat Season 2 | Official Trailer | Streaming Now on Amazon Prime Video,2022-05-19,598191,0,May
12,"TVF's DaduGiri | E03 - Dadaji Aur Hera Pheri  ft. Mayur More, Sharat Saxena & Ranjan Raj",2022-05-17,520907,0,May
13,"TVF’s Cricket Ka Bhoot ft. Badri Chavan, Akashdeep Arora & Luv Vispute",2022-05-14,1807450,0,May
14,"TVF's DaduGiri | E02 - Nibba Nibbi Aur Dadaji ft. Mayur More, Sharat Saxena & Ranjan Raj",2022-05-10,811250,0,May
15,"TVF's DaduGiri | E01 - Dadaji Ki Nayi Nurse ft. Mayur More, Sharat Saxena & Ranjan Raj",2022-05-06,1902263,0,May
16,"TVF's DaduGiri | Official Trailer Ft. Mayur More, Sharat Saxena & Ranjan Raj",2022-05-04,295188,0,May
17,1 Minute of Raghu & Rajiv from Rowdies | The Viral Fever #Shorts,2022-04-28,382728,0,Apr
18,Aarthik Sthiti thik na hai humari | Sandeep Bhaiya from Aspirants #Shorts,2022-04-26,442351,0,Apr
19,"Sapna nahi, AIM bolna shuru karo | Jeetu Bhaiyya | Kota Factory",2022-04-24,144615,0,Apr
20,"If IIPL Teams Were Students Ft. Mayur More, Abhinav Anand & Anandeshwar Dwivedi | The Viral Fever",2022-04-19,1945000,0,Apr
21,Jhonka Official Music Video | Gullak S3 | @Papon | @Anurag Saikia | Durgesh Singh,2022-04-14,568139,0,Apr
22,TVF's Gullak Season 3 | Official Trailer | Streaming Now on SonyLIV,2022-04-07,575770,0,Apr
23,TVF's Trapped With A Fan | Ep 04 Ft. Abhishek Bachchan & Chote Miyan,2022-04-05,2504055,0,Apr
24,Bloody Fool Lyrical Video | Gullak S3 | Anurag Saikia | Irfan Khan | Durgesh Singh,2022-04-03,456290,0,Apr
25,"TVF Bachelors: S3E4 Bachelors vs Marriage II ft. Chote Miyan, Shivankit, Badri, Jassi & Anandeshwar",2022-03-29,1517892,0,Mar
26,"TVF Bachelors: S3E3 Bachelors vs Marriage ft. Chote Miyan, Shivankit, Badri, Jassi & Anandeshwar",2022-03-25,2218321,0,Mar
27,"TVF Bachelors: S3E2 Bachelors vs Bachelors ft. Chote Miyan, Shivankit, Badri, Jassi & Anandeshwar",2022-03-22,2330103,0,Mar
28,"TVF Bachelors: S3E1 Bachelors vs Girlfriend ft. Chote, Shivankit, Badri, Jassi & Anandeshwar Dwivedi",2022-03-15,2771126,0,Mar
29,"TVF's Break-up With Daughter Ft. Neena Gupta, Gajraj Rao, Shreya Singh & Siddharth Mishra",2022-03-11,2340674,0,Mar
30,TVF's Bachelors vs The World | Official Trailer,2022-03-05,764567,0,Mar
31,"Bachelors vs Games | Reunion Special ft. Chote Miyan, Shivankit, Badri & Jasmeet | TVF",2022-03-03,2760154,0,Mar
32,TVF's Rewind Of 10 Years,2022-02-25,625758,0,Feb
33,10 Years Of TVF | Your Life... Our Frames,2022-02-21,364538,0,Feb
