,Title,Published_date,Views,Favorite,Comments,Month
0,Never be Arrogant - Honest Talk,2022-06-21,182921,0,194,Jun
1,Students stay away from this Habit! We will NOT complain❤️,2022-06-18,264023,0,378,Jun
2,How is your Relationship with Time? Ask 3 questions,2022-06-16,146873,0,879,Jun
3,Learn to say NO! | for students,2022-06-14,363617,0,302,Jun
4,What to do when people judge you ?,2022-06-10,621032,0,346,Jun
5,"Perfection nahi , progression jaruri hai!",2022-06-09,266653,0,266,Jun
6,Stop doing this - Over-thinking! | for students,2022-06-04,457965,0,523,Jun
7,Am I on the Right track? | Ask these 3 Simple questions,2022-05-31,201607,0,169,May
8,First Time in India 🇮🇳 - How it all started? | Golden Hat-Trick,2022-05-28,796199,0,1777,May
9,Pro-Insights with @Tanmay Bhat | How Tanmay thinks?,2022-05-26,287290,0,993,May
10,How to handle Anger ? for students,2022-05-24,432501,0,372,May
11,Where most people Fail? Most difficult part of Journey is ?,2022-05-18,451739,0,218,May
12,Is your Life/ Career on right track? 3 Simple Steps,2022-05-13,406165,0,1313,May
13,Ab India padhega aur Phodega ❤️,2022-05-12,3454098,0,992,May
14,Think Big - Shayari🔥❤️,2022-05-09,658075,0,429,May
15,How to get Rich? | 3 Simple Laws | by Aman Dhattarwal,2022-05-05,368114,0,944,May
16,If you are feeling behind in Life - watch this | a talk by Aman Dhattarwal,2022-05-01,387150,0,1164,May
17,IIT Delhi - The Dream of Millions | 2 Minute Short Film | Seminar #91,2022-04-28,653725,0,1278,Apr
18,"He/She left me, ab kya karu bhaiya ?",2022-04-25,1184627,0,827,Apr
19,"If you want to know yourself, talk to yourself.",2022-04-23,469280,0,253,Apr
20,Avoid doing this - Discouraging students in front of others,2022-04-22,351266,0,221,Apr
21,Big News by CBSE for Class 9th-Class 12th | Reduced syllabus and Single Exam | 2022-23,2022-04-21,289095,0,1103,Apr
22,Falling down is not Failure🔥,2022-04-20,612163,0,321,Apr
