,Title,Published_date,Views,Likes,Favorite,Comments,Month
0,Miscellaneous | Most Important Questions | NEET 2021,2021-09-11,22600,673,0,77,Sep
1,Heat & Thermodynamics | Most Important Questions | NEET 2021,2021-09-10,8449,308,0,13,Sep
2,Oscillation & Waves | Most Important Questions | NEET 2021,2021-09-09,6457,349,0,10,Sep
3,Thermochemistry | Most Important Questions | NEET 2021,2021-09-08,8137,426,0,45,Sep
4,Gravitational + GPM | Most Important Questions | NEET 2021,2021-09-08,4107,279,0,15,Sep
5,Carbonyl Compounds | Most Important Questions | NEET 2021,2021-09-07,4441,297,0,25,Sep
6,Rotational Motion | Most Important Questions | NEET 2021,2021-09-07,4156,303,0,6,Sep
7,Human Physiology | Most Important Questions | NEET 2021,2021-09-06,7134,344,0,11,Sep
8,"Alcohol, Phenol & Ether | Most Important Questions | NEET 2021",2021-09-06,5514,410,0,14,Sep
9,Work Energy Power  | Most Important Questions | NEET 2021,2021-09-05,4968,381,0,10,Sep
10,Plant Physiology | Most Important Questions | NEET 2021,2021-09-04,5312,363,0,14,Sep
11,Hydrocarbon & Alkyl Aryl Halide | Most Important Questions | NEET 2021,2021-09-04,5586,468,0,9,Sep
12,"NLM, Friction and Circular | Most Important Questions | NEET 2021",2021-09-04,4513,336,0,6,Sep
13,Isomerism | Most Important Questions | NEET 2021,2021-09-03,6704,563,0,15,Sep
14,Plant Physiology | Most Important Questions | NEET 2021,2021-09-03,3506,193,0,19,Sep
15,"Vectors, Kinematics, Errors & Dimensions | Most Important Questions | NEET 2021",2021-09-03,5309,483,0,20,Sep
16,Cell Structure & Function | Most Important Questions | NEET 2021,2021-09-02,4834,334,0,4,Sep
17,GOC - General Organic Chemistry | Most Important Questions | NEET 2021,2021-09-02,6597,603,0,24,Sep
18,EM Waves & Wave Optics | Most Important Questions | NEET 2021,2021-09-02,4227,390,0,5,Sep
19,Structural Organisation in Animals and plants | Most Important Questions | NEET 2021,2021-09-01,4238,392,0,7,Sep
20,Chemical Bonding | Most Important Questions | NEET 2021,2021-09-01,8172,750,0,17,Sep
21,Modern Physics Part 2 | Most Important Questions | NEET 2021,2021-09-01,4877,416,0,8,Sep
22,Diversity in Living World | Most Important Questions | NEET 2021,2021-08-31,5473,433,0,20,Aug
23,Electrochemistry | Most Important Questions | NEET 2021,2021-08-31,7685,678,0,15,Aug
24,Modern Physics -1 | Most Important Questions | NEET 2021,2021-08-31,8981,717,0,17,Aug
25,Ecology in One Shot | Most Important Questions | NEET 2021,2021-08-30,8225,682,0,17,Aug
26,Chemical Kinetics | Most Important Questions | NEET,2021-08-30,10173,943,0,32,Aug
27,biotechnology & its applications| MOST PROBABLE QUESTIONS FOR NEET 2021,2021-08-28,9600,785,0,25,Aug
28,Optics & Optical Instruments| MOST PROBABLE QUESTIONS FOR NEET 2021,2021-08-28,12639,1003,0,17,Aug
29,Ionic Equilibrium| MOST IMPORTANT QUESTIONS FOR NEET 2021,2021-08-28,12420,1042,0,41,Aug
30,Electromagnetic Induction (EMI) & Alternating Current (AC) | MOST IMPORTANT QUESTIONS FOR NEET 2021,2021-08-28,15077,1031,0,25,Aug
31,Biology and Human Welfare | NEET 2021 | Most Important Questions,2021-08-27,11904,955,0,29,Aug
32,Chemical Equilibrium & Liquid Solutions | NEET 2021 | Most Important Questions,2021-08-27,10304,939,0,22,Aug
33,Physics | MEC + Magnetism | NEET 2021 | Most Important Questions,2021-08-27,10841,989,0,24,Aug
34,Biology : Human Reproduction | Principles of Inheritance & Variation,2021-08-26,18359,1298,0,32,Aug
35,Solid State - Most Probable Questions for NEET 2021,2021-08-26,22419,1762,0,54,Aug
36,Physics : Current & Electricity,2021-08-25,22235,1751,0,43,Aug
37,Reproduction - Most Probable Questions for NEET 2021,2021-08-25,24852,2077,0,93,Aug
38,Atomic Structure - Most Probable Questions for NEET 2021,2021-08-25,28623,2512,0,80,Aug
39,Electrostatics & Capacitors - Most Probable Questions for NEET 2021,2021-08-24,35270,2737,0,81,Aug
40,Mole Concept - Most Probable Questions for NEET 2021,2021-08-24,69776,5462,0,157,Aug
