,Title,Published_date,Views,Favorite,Comments,Month
0,Parents are Givers ❤️ | Rasta aapko khud chunana hai | for students,2022-06-22,14303,0,38,Jun
1,How to handle Competition?,2022-06-21,26842,0,62,Jun
2,Class 12 TERM 2 Maths MOST IMPORTANT TOPICS | The Final REVISION | #tuphodega,2022-06-06,86445,0,177,Jun
3,Class 12 Maths MAHA MARATHON | TERM 2 Complete Syllabus | #day2,2022-06-05,82953,0,227,Jun
4,Class 12 Maths MAHA MARATHON | TERM 2 Complete Syllabus | #tuphodega,2022-06-04,166098,0,508,Jun
5,Class 12 Biology Most Important Questions | #tuphodega,2022-05-29,49010,0,201,May
6,Class 12 Biology MAHA MARATHON | TERM 2 Complete Syllabus | Score 35/35 | #tuphodega,2022-05-28,81523,0,302,May
7,Organisms and Population Class 12 | One Shot | Class 12 Biology | Class 12 BOARDS/NEET,2022-05-27,26434,0,233,May
8,Biodiversity and Conservation Class 12 | One Shot | Class 12 Biology | Class 12 BOARDS/NEET,2022-05-23,59945,0,374,May
9,CBSE Class 12 Physics Exam | Student Reaction | Exam Review 🔥,2022-05-20,208592,0,1706,May
10,Class 12 Physics Most Important Questions | Numericals ka Dar Ab khatam! | Score 35/35 | #tuphodega,2022-05-19,154475,0,387,May
11,Class 12 Physics Board - Revision/Cheat Notes | Pinned comment,2022-05-19,676957,0,789,May
12,Class 12 Physics MAHA MARATHON | TERM 2 Complete Syllabus | Score 35/35 | #tuphodega,2022-05-18,228841,0,373,May
13,Class 12 Physics MAHA MARATHON | TERM 2 Complete Syllabus | Score 35/35 | #tuphodega,2022-05-17,222037,0,283,May
14,Class 12 Physics MAHA MARATHON | TERM 2 Complete Syllabus | Score 35/35 | #tuphodega,2022-05-17,271517,0,499,May
15,Class 12 Physics | Last 3 days Strategy to score 97%+ | Revision Notes & Marathons,2022-05-16,150959,0,733,May
16,Class 12 Physics in Last 3 Days for Term 2 Board Exams | 17-19th May,2022-05-16,247011,0,326,May
17,Class 12 ENGLISH Board Exam | Student Reaction | Exam Review 🔥,2022-05-13,98017,0,508,May
18,Class 12 English | Last Minute Tips | Increase 2-5% | Cheat Sheets,2022-05-12,145313,0,790,May
19,Class 12 Term 2 English WRITING SKILLS | COMPLETE Writing Skills in 1 Video | Class 12 CBSE Term 2 |,2022-05-11,209864,0,963,May
20,Evans Tries an O - Level Class 12 | Class 12 English | Notes + PYQ | NCERT | Class 12 Boards |,2022-05-10,160939,0,612,May
21,CBSE Class 12 Chemistry Board Exam | Student Reaction | Exam Review 🔥,2022-05-07,168230,0,875,May
22,Class 12 TERM 2 Chemistry Paper Solution | Answer Key | JO PADHAYA VAHI AYA,2022-05-07,105114,0,383,May
23,Class 12 TERM 2 Chemistry MOST IMPORTANT TOPICS | The Final REVISION | Score 35/35 | #tuphodega,2022-05-06,332474,0,663,May
24,COORDINATION COMPOUNDS Class 12 | One Shot Video | Class 12 | CBSE TERM 2,2022-05-06,33566,0,112,May
25,"Aldehydes, Ketones and Carboxylic Acid Class 12 | One Shot Video | Class 12 | CBSE TERM 2",2022-05-06,57836,0,345,May
26,Class 12 Chemistry MAHA MARATHON | TERM 2 Complete Syllabus | Score 35/35 | #tuphodega,2022-05-05,364728,0,820,May
27,D & F Block elements Class 12 | D and F block One Shot |NCERT Chapter 8 | CBSE Term 2 |,2022-05-05,195942,0,717,May
28,Class 12 Chemistry MAHA MARATHON | TERM 2 Complete Syllabus | Score 35/35 | #tuphodega,2022-05-04,804056,0,1259,May
29,Board Exam MEME : Situation Of Students Just Before Exam  #Apnikaksha,2022-05-03,850577,0,1294,May
30,Delhi University | All about Admission Criteria + Package | CUET 2022,2022-05-02,240315,0,1321,May
31,CUET 2022 : Last 60 days | Boards + CUET | Dedicated Course Launch,2022-04-28,170286,0,1325,Apr
32,Students- Will your IPO be a hit?,2022-04-25,233842,0,182,Apr
33,How to always stay motivated?,2022-04-23,401108,0,252,Apr
34,Distractions Remedy for students  during Preparation,2022-04-22,1074481,0,329,Apr
35,Mind ka Double Game - for Students,2022-04-21,1808939,0,1171,Apr
36,On the Face of it Class 12 | Class 12 English | Detailed Lecture + Notes | NCERT | CBSE | Boards,2022-04-21,148860,0,351,Apr
37,JEE/NEET aspirants- Avoid doing this before first attempt.,2022-04-20,1152064,0,322,Apr
38,Lines of Chanakya Neeti - Never tell your Goals outside family.,2022-04-19,7014757,0,3443,Apr
39,EM Waves in One Shot | Class 12 | Class 12 BOARD/JEE/NEET | BOARD WAR 2,2022-04-19,214981,0,623,Apr
40,Remember this when - Padhai ka mann nahi kar raha h,2022-04-15,408108,0,289,Apr
41,JEE Main 2022 : Last 60 Days Selection Strategy 🔥 | Score 200+,2022-04-10,198030,0,1486,Apr
42,BIG Official NEWS for all JEE students - Firse Badal Diya,2022-04-07,108166,0,427,Apr
43,One Word behind their Success! - Warren Buffet,2022-04-02,696802,0,203,Apr
44,Should Wizard hit Mommy Class 12|Class 12 English | Detailed Lecture + Notes | NCERT | CBSE | Boards,2022-04-02,153463,0,305,Apr
45,JEE Main 2022 : Ab Tu Phodega | Last 20 days Brahamastra,2022-03-31,120805,0,944,Mar
46,Aunt Jennifer's Tigers Class 12 | Class 12 English | Detailed Lecture + Notes | NCERT Explanation,2022-03-30,145346,0,303,Mar
47,Biotechnology and its Applications Class 12 in ONE SHOT | Class 12 Biology | CBSE | NEET | NCERT |,2022-03-29,61100,0,263,Mar
48,Are you stuck in Life? for all students,2022-03-28,340817,0,434,Mar
49,Top Non IIT Engineering Colleges of India!,2022-03-27,347198,0,365,Mar
50,A Thing of Beauty Class 12 | Class 12 English | Detailed Lecture + Notes + PYQ | NCERT Explanation,2022-03-25,193687,0,410,Mar
51,Probability Class 12 One Shot | Term 2 Maths Class 12 | Complete NCERT covered | CBSE | NCERT |,2022-03-22,360346,0,960,Mar
52,Train chalne wali hei - Chalo Term 2 wallo Manzil par fateh paani Hei | Class 12 Term 2 Crash Course,2022-03-20,51709,0,354,Mar
53,Big News for Class 12 students - Chithi aai hei | Arre bhayi Result aa gya!,2022-03-19,97525,0,941,Mar
54,Surface Chemistry in ONE SHOT | Class 12 | One Shot | CBSE/JEE/NEET | Class 12 Boards |,2022-03-18,423044,0,1487,Mar
55,The RATTRAP Class 12 | Class 12 English | Detailed Lecture + Notes + PYQ | NCERT | Class 12 Boards |,2022-03-16,211360,0,390,Mar
56,Semiconductor Class 12 in One Shot | Class 12 Physics | Class 12 BOARD/JEE/NEET |,2022-03-14,554403,0,1123,Mar
57,Big News- JEE Main 2022 New Exam Dates - Change in Schedule,2022-03-14,113337,0,399,Mar
58,Class 12 : Ab tu Phodega | Big Launch!,2022-03-13,55134,0,363,Mar
59,Big NEWS : Class 12 & Class 10 Boards | Date Sheet Out,2022-03-11,64051,0,344,Mar
60,Teaser Launch : YODDHA Incoming 🔥,2022-03-10,68428,0,356,Mar
61,"Study dose : It doesn’t matter where you are now, what matters is where you are going.",2022-03-10,254936,0,131,Mar
