,Title,Published_date,Views,Likes,Favorite,Comments,Month
0,IIT Ka EXAM Tough Nahi Hota !!!,2022-06-24,17666,4951,0,54,Jun
1,PW Ka Price REVOLUTION 🔥,2022-06-24,36183,4858,0,139,Jun
2,Jharkhand Topper from PW 🔥,2022-06-23,108301,11787,0,224,Jun
3,"""Success"" ही ""Respect"" देता है!!",2022-06-23,23558,3043,0,32,Jun
4,"""समय"" Ki Importance Samjho 🤗",2022-06-23,26588,4059,0,44,Jun
5,Good Luck & Best Wishes 😇 to all JEE MAIN 2022 (1st Attempt) Aspirants 🔥,2022-06-22,123727,12537,0,755,Jun
6,JEE MAIN me kal FOD ke aana hai !!! 🔥🔥,2022-06-22,128690,13639,0,255,Jun
7,Kya PW bhi Badal Jayega? 🥺,2022-06-22,47668,5083,0,88,Jun
8,"""Time"" सबसे कीमती है 🔥",2022-06-22,43654,5790,0,37,Jun
9,KOTA का इतिहास 🔥,2022-06-21,138875,17096,0,115,Jun
10,Apne Bachchon Ko Unchaiyo Par Le Jaana Hai !!! 🙏,2022-06-21,89141,11074,0,132,Jun
11,CHEMISTRY IN EVERYDAY LIFE in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-20,35129,1715,0,149,Jun
12,JEE MAIN : MAHA REVISION || Complete ORGANIC CHEMISTRY (Part - 2) in 6 Hours 🔥,2022-06-20,78236,3864,0,212,Jun
13,"""PW"" Grand Entry in ""KOTA"" 🔥",2022-06-20,52372,4690,0,65,Jun
14,"दूसरे की ""Gf"" और दूसरे की ""Notes""!! 😂😂",2022-06-20,70549,7385,0,154,Jun
15,कभी सोचा नही था कि KOTA मे अपना Coaching खोलेंगे !!! 🥺,2022-06-19,166429,23115,0,139,Jun
16,JEE MAIN : MAHA REVISION || Complete ORGANIC CHEMISTRY in 4 Hours 🔥,2022-06-19,111610,5159,0,239,Jun
17,Good Morning Bachhon !!! कभी DEMOTIVATE मत होना 🔥,2022-06-19,188897,19827,0,383,Jun
18,JEE MAIN : MAHA REVISION || Complete MATHS in 12 Hours 🔥,2022-06-18,269190,11113,0,472,Jun
19,Kya DEGREE Matter Karti Hai? 🤔,2022-06-18,129083,16628,0,75,Jun
20,"THINK Like an ""IITian"" 🤩",2022-06-18,47969,4144,0,196,Jun
21,Sir Hamari Pitaayi Nahi Ho Paa Rahi !!! 🤭,2022-06-18,114080,15322,0,235,Jun
22,JEE MAIN : MAHA REVISION || Complete INORGANIC CHEMISTRY in 4 Hours 🔥,2022-06-17,195697,9049,0,457,Jun
23,KOTA me REVOLUTION Ab Start Hoga 🔥,2022-06-17,297384,26081,0,276,Jun
24,JEE MAIN : MAHA REVISION || Complete PHYSICAL CHEMISTRY in 4 Hours 🔥,2022-06-17,287038,13859,0,522,Jun
25,Mummy Ke Liye Kuch Bada Karna Hai!!! 🙏,2022-06-17,110615,15862,0,80,Jun
26,Kya Alakh Sir BUSINESS MAN Ban Gaye? 🤔,2022-06-17,367397,35496,0,211,Jun
27,JEE MAIN : MAHA REVISION || Complete PHYSICS in 12 Hours 💥,2022-06-16,479517,18751,0,1247,Jun
28,PW Aa Gaya Hai KOTA 🔥,2022-06-16,152261,18100,0,247,Jun
29,Tips & Tricks to SCORE 200+ in JEE MAIN 2022 🔥,2022-06-16,77281,6852,0,490,Jun
30,Alakh Sir Ki STRUGGLE LIFE 🙂,2022-06-16,208686,23474,0,80,Jun
31,INDEFINITE INTEGRATION in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-15,55000,2940,0,134,Jun
32,TOPPER Kon Banega???,2022-06-15,70947,8614,0,101,Jun
33,WAVES - 15 Most Important PYQs in 1 Shot || JEE Main,2022-06-15,14937,738,0,126,Jun
34,"""KOTA"" आ रहे हैं हम!! ✨",2022-06-15,157259,19868,0,174,Jun
35,PARABOLA - 15 Most Important PYQs in 1 Shot || JEE Main,2022-06-15,10690,489,0,97,Jun
36,THE S-BLOCK ELEMENTS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-06-15,32352,1793,0,174,Jun
37,2 DAYS BIGGEST OFFER !!! Class 12th JEE & NEET || ₹1800 for Complete Batch 🔥,2022-06-14,17618,1021,0,236,Jun
38,METHOD OF DIFFERENTIATION in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-14,44935,2351,0,285,Jun
39,"""Motivation"" जल्दी मर जाती है!!! 😳",2022-06-14,48199,6095,0,35,Jun
40,CIRCLES - 15 Most Important PYQs in 1 Shot || JEE Mains,2022-06-14,14043,729,0,98,Jun
41,Homework तो अच्छे बच्चे करते  है और हमारी शकल तो अच्छी है नही... SIGMA RULE 😂,2022-06-14,52223,3851,0,52,Jun
42,ENVIRONMENTAL CHEMISTRY in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-14,25704,1262,0,109,Jun
43,WAVE MOTION in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-06-13,42400,2435,0,48,Jun
44,Oscillations -15 Most Important PYQs in 1 Shot || JEE Mains,2022-06-13,12815,701,0,128,Jun
45,"मैं इतनी ""MEHNAT"" करूँगा!✍️",2022-06-13,119021,16572,0,84,Jun
46,IUPAC -  15 Most Important PYQs in 1 Shot || JEE Main,2022-06-13,48137,3201,0,541,Jun
47,"""Sapna"" तो मेरा भी था!!! 🥺💭",2022-06-13,55336,6933,0,70,Jun
48,COMPLEX NUMBER (PART - 3) in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-12,17887,950,0,198,Jun
49,POLYMER in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-12,29241,1376,0,119,Jun
50,AREA UNDER THE CURVE in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-12,46699,2691,0,63,Jun
51,"इस्से कुछ नही होने वाला है ""Tumhara""!! 😥",2022-06-12,72305,7620,0,25,Jun
52,REDOX REACTION in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-06-11,40941,2027,0,199,Jun
53,"""Focus"" On Your ""Studies""💥",2022-06-11,79776,11090,0,32,Jun
54,Straight Lines - 15 Most Important PYQs in 1 Shot || JEE Main,2022-06-11,21058,1047,0,185,Jun
55,Risk Hai To Ishq Hai !!! #Sigma Rule 🔥,2022-06-11,59137,5639,0,48,Jun
56,Kill your Plan B 🔥,2022-06-10,63345,7531,0,44,Jun
