,Title,Published_date,Views,Likes,Favorite,Comments,Month
0,Perform multidimensional analysis for free | Intro to atoti,2022-06-03,2779,125,0,18,Jun
1,How to Create a Wordpress Website?,2022-05-09,7192,323,0,53,May
2,HTML Tutorial For Beginners (With Notes) 🔥,2021-10-21,58871,2904,0,305,Oct
3,C Language Tutorial for Beginners (With Notes) 🔥,2021-09-03,493739,15510,0,1325,Sep
4,Python Tutorial For Beginners (With Notes) 🔥,2021-07-26,569064,19986,0,1389,Jul
5,Deploying our Django Blog in Ubuntu 18.04 VPS | Django Tutorial #34,2020-07-09,39516,1078,0,120,Jul
6,Adding Virtual Environment to our Django Blog | Django Tutorial #33,2020-07-09,19495,537,0,35,Jul
7,Creating Contact Model + UI for our Django Blog | Django Tutorial #32,2020-06-27,8542,252,0,39,Jun
8,Designing The Pagination Logic For Our Django Blog | Django Tutorial #31,2020-06-26,6095,192,0,28,Jun
9,Making Design Improvements in Our Django Blog | Django Tutorial #30,2020-06-25,5891,195,0,20,Jun
10,Customizing Tiny MCE For Better Editing Experience | Django Tutorial #29,2020-06-25,3402,140,0,31,Jun
11,Finishing up Tiny MCE Rich Text Editor | Django Tutorial #28,2020-06-25,4014,136,0,22,Jun
12,Adding Rich Text Editor to the Django Admin | Django Tutorial #27,2020-06-24,7502,183,0,32,Jun
13,Django Blog: Designing The HomePage | Django Tutorial #26,2020-06-19,9940,260,0,33,Jun
14,Django Blog: Rendering the Blog on Blog Page | Django Tutorial #25,2020-06-19,3805,151,0,23,Jun
15,Django Blog: Designing the Blog Home Page | Django Tutorial #24,2020-06-18,4474,144,0,19,Jun
16,Django Blog: Creating Blog Model For our Mountain Coders Blog | Django Tutorial #23,2020-06-17,4247,164,0,26,Jun
17,Django CMS: Adding Bootstrap to our Django Blog | Django Tutorial #22,2020-06-16,5160,139,0,29,Jun
18,Django CMS: Creating a Django Blog | Django Tutorial #21,2020-06-08,12604,256,0,42,Jun
19,Django Authentication and Authorization Tutorial | Django Tutorial #20,2020-06-02,6989,215,0,44,Jun
20,Project 2: Finishing Up ToDos List Django App | Django Tutorial #19,2020-05-31,3875,168,0,21,May
21,Project 2: Fetching Data from our Models for ToDos List Django App | Django Tutorial #18,2020-05-30,7705,248,0,34,May
22,Project 2: Using Django Template Language in our ToDos List Django App | Django Tutorial #17,2020-05-29,3911,202,0,30,May
23,Project 2: Creating Models & Superuser for Our ToDos List Django App | Django Tutorial #16,2020-05-28,5935,242,0,25,May
24,Project 2: ToDos List App in Django | Django Tutorial #15,2020-05-27,11174,288,0,28,May
25,Template Inheritance in Django | Django Tutorial #14,2020-05-26,7495,255,0,29,May
26,Using Static Files & StaticFiles Dirs in Django | Django Tutorial #13,2020-05-26,19380,414,0,47,May
27,Customizing the Django Admin Interface | Django Tutorial #12,2020-05-25,27954,595,0,49,May
28,Understanding the Django Admin Interface | Django Tutorial #11,2020-05-25,9520,331,0,36,May
29,Models in Django: Saving Form Data To The Database | Django Tutorial #10,2020-05-24,34798,716,0,96,May
30,Adding Further Design to our Developer Portfolio Website | Django Tutorial #9,2020-05-23,10440,308,0,28,May
